﻿# EmojBuffModScanner catalog
# Mod: CalValEX
# Scanned: 2026-05-20T08:27:20.5179695Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\CalValEX\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
CalValEX/AeroBuff	AeroBuff	CalValEX.Buffs.Pets/AeroBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AmberBuff	AmberBuff	CalValEX.Buffs.Pets.Scuttlers/AmberBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AmethystBuff	AmethystBuff	CalValEX.Buffs.Pets.Scuttlers/AmethystBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AmogusBuff	AmogusBuff	CalValEX.AprilFools/AmogusBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AndroombaBuff	AndroombaBuff	CalValEX.Buffs.Pets/AndroombaBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AnthozoanBuff	AnthozoanBuff	CalValEX.Buffs.Mounts/AnthozoanBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalValEX/AquaBuff	AquaBuff	CalValEX.Buffs.Pets/AquaBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AresBuff	AresBuff	CalValEX.Buffs.Pets.ExoMechs/AresBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/AuricTeslaBuff	AuricTeslaBuff	CalValEX.Buffs.Mounts/AuricTeslaBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalValEX/AvalonBuff	AvalonBuff	CalValEX.Buffs.Pets/AvalonBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/BabySquidBuff	BabySquidBuff	CalValEX.Buffs.Pets/BabySquidBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/BeeBuff	BeeBuff	CalValEX.Buffs.Pets/BeeBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/BejeweledBuff	BejeweledBuff	CalValEX.Buffs.Pets.Scuttlers/BejeweledBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalValEX/BikeBuff	BikeBuff	CalValEX.Buffs.Mounts/BikeBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalValEX/BirdsculeBuff	BirdsculeBuff	CalValEX.Buffs.Pets/BirdsculeBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
