﻿RegisteredTypeName	ReferenceCount	SampleFiles
AbsorberAffliction	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
AlcoholPoisoning	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
AnticoagulationBuff	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
AntisocialBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
AstralInfectionDebuff	3	FargowiltasCrossmod.Content.Calamity.Projectiles/AstralTrailStar.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantAureusSpawn.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
AtrophiedBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
AuricRebuke	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
BanishingFire	2	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs
BaronsBurdenBuff	2	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BerserkedBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BerserkerInstallBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BloodthirstyBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BlueCandleBuff	1	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCTileChanges.cs
BrainOfConfusionBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BrainRot	3	FargowiltasCrossmod.Content.Calamity.Bosses.HiveMind/BrainMassProjectile.cs|FargowiltasCrossmod.Content.Calamity.Bosses.HiveMind/HiveMindGlobalProjectile.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
BrimstoneFlames	11	FargowiltasCrossmod.Content.Calamity.Bosses.BrimstoneElemental/BrimstoneEternity.cs|FargowiltasCrossmod.Content.Calamity.Bosses.CalamitasClone/BrimstoneBall.cs|FargowiltasCrossmod.Content.Calamity.Bosses.CalamitasClone/BrimstoneBarrageGravitating.cs|FargowiltasCrossmod.Content.Calamity.Bosses.CalamitasClone/BrimstoneFireball.cs|FargowiltasCrossmod.Content.Calamity.Bosses.CalamitasClone/ChargedGigablast.cs
BurningBlood	5	FargowiltasCrossmod.Content.Calamity.Bosses.Perforators/PerfExplosion.cs|FargowiltasCrossmod.Content.Calamity.Bosses.Perforators/PerforatorLegHitbox.cs|FargowiltasCrossmod.Content.Calamity.Bosses.Perforators/PerforatorRubble.cs|FargowiltasCrossmod.Content.Calamity.Bosses.Perforators/PerforatorSpike.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
CalamitousPresenceBuff	3	FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantDLC.cs|FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs|FargowiltasCrossmod.Core.Calamity.ModPlayers/CalDLCPlayer.cs
ClippedWingsBuff	2	FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
CrippledBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
CrushDepth	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
CurseoftheMoonBuff	6	FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantFishronRitual.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantSpearDash.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/DLCMutantSpearSpin.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.ModPlayers/CalDLCPlayer.cs
Daybroken	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
DefenselessBuff	1	FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
DemonicFlames	1	FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
DemonshadeSetDevilBuff	1	FargowiltasCrossmod.Core.Calamity.ModPlayers/CalDLCPlayer.cs
