﻿# EmojBuffModScanner catalog
# Mod: CalamityMod
# Scanned: 2026-05-20T08:39:21.3491833Z
# Source: c:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\CalamityMod\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
CalamityMod/AbandonedSlimeBuff	AbandonedSlimeBuff	CalamityMod.Buffs.Summon/AbandonedSlimeBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AbsorberAffliction	AbsorberAffliction	CalamityMod.Buffs.StatDebuffs/AbsorberAffliction.cs	CombatVisual	Medium		Dust\.NewDust		
CalamityMod/AbsorberRegen	AbsorberRegen	CalamityMod.Buffs.StatBuffs/AbsorberRegen.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AbyssalDivingSuitBuff	AbyssalDivingSuitBuff	CalamityMod.Buffs.StatBuffs/AbyssalDivingSuitBuff.cs	CombatVisual	Medium		Lighting\.AddLight		
CalamityMod/AbyssalDivingSuitPlates	AbyssalDivingSuitPlates	CalamityMod.Buffs.StatBuffs/AbyssalDivingSuitPlates.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AbyssalMadness	AbyssalMadness	CalamityMod.Buffs.StatBuffs/AbyssalMadness.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AdrenalineMode	AdrenalineMode	CalamityMod.Buffs.StatBuffs/AdrenalineMode.cs	CombatVisual	Medium		Dust\.NewDust|Lighting\.AddLight		
CalamityMod/Afflicted	Afflicted	CalamityMod.Buffs.StatBuffs/Afflicted.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AkatoBuff	AkatoBuff	CalamityMod.Buffs.Pets/AkatoBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/AlcoholPoisoning	AlcoholPoisoning	CalamityMod.Buffs.Alcohol/AlcoholPoisoning.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AmidiasBlessing	AmidiasBlessing	CalamityMod.Buffs.StatBuffs/AmidiasBlessing.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AncientMineralSharkBuff	AncientMineralSharkBuff	CalamityMod.Buffs.Summon/AncientMineralSharkBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AndromedaBuff	AndromedaBuff	CalamityMod.Buffs.Mounts/AndromedaBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AndromedaCripple	AndromedaCripple	CalamityMod.Buffs.StatDebuffs/AndromedaCripple.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AndromedaSmallBuff	AndromedaSmallBuff	CalamityMod.Buffs.Mounts/AndromedaSmallBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AnechoicCoatingBuff	AnechoicCoatingBuff	CalamityMod.Buffs.Potions/AnechoicCoatingBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AquaticHeartBuff	AquaticHeartBuff	CalamityMod.Buffs.StatBuffs/AquaticHeartBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AquaticHeartWaterSpeed	AquaticHeartWaterSpeed	CalamityMod.Buffs.StatBuffs/AquaticHeartWaterSpeed.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AquaticStar	AquaticStar	CalamityMod.Buffs.Summon/AquaticStar.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/ArcherofLunamoon	ArcherofLunamoon	CalamityMod.Buffs.Pets/ArcherofLunamoon.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/ArmorCrunch	ArmorCrunch	CalamityMod.Buffs.StatDebuffs/ArmorCrunch.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AstralInfectionDebuff	AstralInfectionDebuff	CalamityMod.Buffs.DamageOverTime/AstralInfectionDebuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AstralInjectionBuff	AstralInjectionBuff	CalamityMod.Buffs.Potions/AstralInjectionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AstralProbeBuff	AstralProbeBuff	CalamityMod.Buffs.Summon/AstralProbeBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/AstrophageBuff	AstrophageBuff	CalamityMod.Buffs.Pets/AstrophageBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/AvertorBonus	AvertorBonus	CalamityMod.Buffs.StatBuffs/AvertorBonus.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BabyBloodCrawlerBuff	BabyBloodCrawlerBuff	CalamityMod.Buffs.Summon/BabyBloodCrawlerBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BabyGhostBellBuff	BabyGhostBellBuff	CalamityMod.Buffs.Pets/BabyGhostBellBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/BabySlimeGodBuff	BabySlimeGodBuff	CalamityMod.Buffs.Summon/BabySlimeGodBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BabyStormlionBuff	BabyStormlionBuff	CalamityMod.Buffs.Summon/BabyStormlionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BaguetteBuff	BaguetteBuff	CalamityMod.Buffs.Potions/BaguetteBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BanishingFire	BanishingFire	CalamityMod.Buffs.DamageOverTime/BanishingFire.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BearBuff	BearBuff	CalamityMod.Buffs.Pets/BearBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/BelladonnaSpiritBuff	BelladonnaSpiritBuff	CalamityMod.Buffs.Summon/BelladonnaSpiritBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BlackHawkBuff	BlackHawkBuff	CalamityMod.Buffs.Summon/BlackHawkBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BloodBound	BloodBound	CalamityMod.Buffs.Pets/BloodBound.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/BloodfinBoost	BloodfinBoost	CalamityMod.Buffs.Potions/BloodfinBoost.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BloodflareBloodFrenzy	BloodflareBloodFrenzy	CalamityMod.Buffs.StatBuffs/BloodflareBloodFrenzy.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BloodyMaryBuff	BloodyMaryBuff	CalamityMod.Buffs.Alcohol/BloodyMaryBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BlueCandleBuff	BlueCandleBuff	CalamityMod.Buffs.Placeables/BlueCandleBuff.cs	Stat	Medium	player\.moveSpeed\s*[\+\-\*\/]?=			
CalamityMod/BossEffects	BossEffects	CalamityMod.Buffs.StatBuffs/BossEffects.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BoundingBuff	BoundingBuff	CalamityMod.Buffs.Potions/BoundingBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BrainRot	BrainRot	CalamityMod.Buffs.DamageOverTime/BrainRot.cs	CombatVisual	Medium		Dust\.NewDust		
CalamityMod/BrimflameFrenzyBuff	BrimflameFrenzyBuff	CalamityMod.Buffs.StatBuffs/BrimflameFrenzyBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BrimlingBuff	BrimlingBuff	CalamityMod.Buffs.Pets/BrimlingBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/BrimroseMount	BrimroseMount	CalamityMod.Buffs.Mounts/BrimroseMount.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BrimseekerBuff	BrimseekerBuff	CalamityMod.Buffs.Summon/BrimseekerBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BrimstoneFlames	BrimstoneFlames	CalamityMod.Buffs.DamageOverTime/BrimstoneFlames.cs	CombatVisual	Medium		Dust\.NewDust|Lighting\.AddLight		
CalamityMod/BrimstoneWaifu	BrimstoneWaifu	CalamityMod.Buffs.Summon/BrimstoneWaifu.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BrittleStar	BrittleStar	CalamityMod.Buffs.Summon/BrittleStar.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BrutalCarnage	BrutalCarnage	CalamityMod.Buffs.StatBuffs/BrutalCarnage.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BumbledogeMount	BumbledogeMount	CalamityMod.Buffs.Mounts/BumbledogeMount.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/BurningBlood	BurningBlood	CalamityMod.Buffs.DamageOverTime/BurningBlood.cs	CombatVisual	Medium		Dust\.NewDust|Lighting\.AddLight		
CalamityMod/CalamarisLamentBuff	CalamarisLamentBuff	CalamityMod.Buffs.Summon/CalamarisLamentBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/CalciumBuff	CalciumBuff	CalamityMod.Buffs.Potions/CalciumBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/CaribbeanRumBuff	CaribbeanRumBuff	CalamityMod.Buffs.Alcohol/CaribbeanRumBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/CausticStaffBuff	CausticStaffBuff	CalamityMod.Buffs.Summon/CausticStaffBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/CeaselessHunger	CeaselessHunger	CalamityMod.Buffs.Potions/CeaselessHunger.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/ChaosCandleBuff	ChaosCandleBuff	CalamityMod.Buffs.Placeables/ChaosCandleBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/ChiBuff	ChiBuff	CalamityMod.Buffs.StatBuffs/ChiBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/ChiRegenBuff	ChiRegenBuff	CalamityMod.Buffs.StatBuffs/ChiRegenBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityMod/ChibiiDoGBuff	ChibiiDoGBuff	CalamityMod.Buffs.Pets/ChibiiDoGBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CalamityMod/CinderBlossomBuff	CinderBlossomBuff	CalamityMod.Buffs.Summon/CinderBlossomBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
