﻿RegisteredTypeName	ReferenceCount	SampleFiles
AstralInfectionDebuff	3	Projectiles/AstralTrailStar.cs|Bosses/MoonLord/DestructionBolt.cs|Bosses/MoonLord/StarofDestruction.cs
BrainRot	2	Bosses/HiveMind/BrainMassProjectile.cs|Bosses/HiveMind/HiveMindGlobalProjectile.cs
BrimstoneFlames	9	Projectiles/BrimflameBurst.cs|Projectiles/HydrothermicVentShot.cs|Bosses/BrimstoneElemental/BrimstoneEternity.cs|Bosses/CalamitasClone/BrimstoneBall.cs|Bosses/CalamitasClone/BrimstoneBarrageGravitating.cs
BurningBlood	4	Bosses/Perforators/PerfExplosion.cs|Bosses/Perforators/PerforatorLegHitbox.cs|Bosses/Perforators/PerforatorRubble.cs|Bosses/Perforators/PerforatorSpike.cs
HolyFlames	1	Projectiles/DaedalusArrow.cs
HypothermiaBuff	1	Bosses/Cryogen/PermafrostBoss.cs
Irradiated	1	Projectiles/SulphurCloud.cs
LowGroundBuff	2	Bosses/Crabulon/CrabulonEternity.cs|Bosses/Perforators/PerfsEternity.cs
Nightwither	1	Bosses/MoonLord/BigLight.cs
NullificationCurseBuff	2	Bosses/MoonLord/EDeathMLCore.cs|Bosses/MoonLord/EDeathMLEye.cs
OiledBuff	1	Bosses/HiveMind/HMEternity.cs
Plague	2	Projectiles/PlagueCloud.cs|Items/Accessories/Enchantments/PlaguebringerEnchant.cs
ReaverRage	2	Items/Accessories/Enchantments/HydrothermicEnchant.cs|Items/Accessories/Enchantments/ReaverEnchant.cs
SulphuricPoisoning	2	Projectiles/GaleSpine.cs|Projectiles/SulphurParticulate.cs
VulnerabilityHex	1	Bosses/CalamitasClone/BrimstoneBarrageGravitating.cs
