﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AstralInfectionDebuff	N	Y			Projectiles/AstralTrailStar.cs|Bosses/MoonLord/DestructionBolt.cs|Bosses/MoonLord/StarofDestruction.cs
BrainRot	N	Y			Bosses/HiveMind/BrainMassProjectile.cs|Bosses/HiveMind/HiveMindGlobalProjectile.cs
BrimstoneFlames	N	Y			Projectiles/BrimflameBurst.cs|Projectiles/HydrothermicVentShot.cs|Bosses/BrimstoneElemental/BrimstoneEternity.cs|Bosses/CalamitasClone/BrimstoneBall.cs|Bosses/CalamitasClone/BrimstoneBarrageGravitating.cs|Bosses/CalamitasClone/BrimstoneFireball.cs|Bosses/CalamitasClone/ChargedGigablast.cs|Bosses/CalamitasClone/Fireblast.cs|Bosses/CalamitasClone/Gigablast.cs
BurningBlood	N	Y			Bosses/Perforators/PerfExplosion.cs|Bosses/Perforators/PerforatorLegHitbox.cs|Bosses/Perforators/PerforatorRubble.cs|Bosses/Perforators/PerforatorSpike.cs
CalamitousPresenceBuff	Y	N	Unknown	Low	Buffs/CalamitousPresenceBuff.cs
HolyFlames	N	Y			Projectiles/DaedalusArrow.cs
HypothermiaBuff	N	Y			Bosses/Cryogen/PermafrostBoss.cs
Irradiated	N	Y			Projectiles/SulphurCloud.cs
LowGroundBuff	N	Y			Bosses/Crabulon/CrabulonEternity.cs|Bosses/Perforators/PerfsEternity.cs
Nightwither	N	Y			Bosses/MoonLord/BigLight.cs
NullificationCurseBuff	N	Y			Bosses/MoonLord/EDeathMLCore.cs|Bosses/MoonLord/EDeathMLEye.cs
OiledBuff	N	Y			Bosses/HiveMind/HMEternity.cs
Plague	N	Y			Projectiles/PlagueCloud.cs|Items/Accessories/Enchantments/PlaguebringerEnchant.cs
ReaverRage	N	Y			Items/Accessories/Enchantments/HydrothermicEnchant.cs|Items/Accessories/Enchantments/ReaverEnchant.cs
SulphuricPoisoning	N	Y			Projectiles/GaleSpine.cs|Projectiles/SulphurParticulate.cs
VulnerabilityHex	N	Y			Bosses/CalamitasClone/BrimstoneBarrageGravitating.cs
