﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AbsorberAffliction	N	Y			FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
AlcoholPoisoning	N	Y			FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
AnticoagulationBuff	N	Y			FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
AntisocialBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
AstralInfectionDebuff	N	Y			FargowiltasCrossmod.Content.Calamity.Projectiles/AstralTrailStar.cs|FargowiltasCrossmod.Content.Common.Bosses.Mutant/MutantAureusSpawn.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
AtrophiedBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
AuricRebuke	N	Y			FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
BanishingFire	N	Y			FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs|FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs
BaronsBurdenBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Globals/CalDLCNPCChanges.cs|FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BerserkedBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BerserkerInstallBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BloodthirstyBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BlueCandleBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Globals/CalDLCTileChanges.cs
BrainOfConfusionBuff	N	Y			FargowiltasCrossmod.Core.Calamity.Systems/CalDLCCompatibilityMisc.cs
BrainRot	N	Y			FargowiltasCrossmod.Content.Calamity.Bosses.HiveMind/BrainMassProjectile.cs|FargowiltasCrossmod.Content.Calamity.Bosses.HiveMind/HiveMindGlobalProjectile.cs|FargowiltasCrossmod.Core.Calamity/CalDLCSets.cs
