﻿# EmojBuffModScanner catalog
# Mod: InfernumMode
# Scanned: 2026-05-20T08:28:22.5883095Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\InfernumMode\decompiled_cs\InfernumMode.Content.Buffs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
InfernumMode/AccentuationHex	AccentuationHex	AccentuationHex.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/AsterPetBuff	AsterPetBuff	AsterPetBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
InfernumMode/BlahajBuff	BlahajBuff	BlahajBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
InfernumMode/BrimstoneBarrier	BrimstoneBarrier	BrimstoneBarrier.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/BrimstoneExhaustion	BrimstoneExhaustion	BrimstoneExhaustion.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/BronzePetBuff	BronzePetBuff	BronzePetBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
InfernumMode/CatharsisHex	CatharsisHex	CatharsisHex.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/DarkFlames	DarkFlames	DarkFlames.cs	CombatVisual	Medium		Dust\.NewDust		
InfernumMode/HatGirlBuff	HatGirlBuff	HatGirlBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
InfernumMode/IndignationHex	IndignationHex	IndignationHex.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/Madness	Madness	Madness.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/PerditusTagBuff	PerditusTagBuff	PerditusTagBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/ShadowflameInferno	ShadowflameInferno	ShadowflameInferno.cs	CombatVisual	Medium		Dust\.NewDust		
InfernumMode/SheepGodBuff	SheepGodBuff	SheepGodBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
InfernumMode/Sleepy	Sleepy	Sleepy.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/WeaknessHex	WeaknessHex	WeaknessHex.cs	Unknown	Low				未检测到常见 stat/visual 模式
InfernumMode/ZealHex	ZealHex	ZealHex.cs	Unknown	Low				未检测到常见 stat/visual 模式
