﻿RegisteredTypeName	ReferenceCount	SampleFiles
BottleMountBuff	1	SpiritReforged.Content.Ocean.Items.MessageBottle/MessageBottleMount.cs
DoubleJumpPotionBuff	1	SpiritReforged.Content.Forest.Cloud.Items/DoubleJumpPotion.cs
EmpoweredSwim	1	SpiritReforged.Content.Ocean.Items.Reefhunter.OceanPendant/OceanPendant.cs
EnlilBuff	1	SpiritReforged.Content.Ziggurat.Tiles/EnlilStatue.cs
ExplorerMine	1	SpiritReforged.Content.Underground.WayfarerSet/WayfarerBonus.cs
ExplorerPot	1	SpiritReforged.Content.Underground.WayfarerSet/WayfarerBonus.cs
ExplorerSpeed	1	SpiritReforged.Content.Underground.Items.ExplorerTreads/ExplorerTreadsItem.cs
FlightPotionBuff	1	SpiritReforged.Content.Forest.Cloud.Items/FlightPotion.cs
Frozen	2	SpiritReforged.Content.Snow/FlaskOfFrost.cs|SpiritReforged.Content.Snow.Frostbite/FrostbiteProj.cs
GildedScarabBuff	1	SpiritReforged.Content.Ziggurat.Scarab/GildedScarabPlayer.cs
Impaled	1	SpiritReforged.Content.Jungle.Bamboo.Tiles/BambooPike.cs
JinxMark	2	SpiritReforged.Content.Forest.JinxBow/JinxBowShot.cs|SpiritReforged.Content.Forest.JinxBow/JinxMarkNPC.cs
KoiTotemBuff	1	SpiritReforged.Content.Ocean.Items.KoiTotem/KoiTotemTile.cs
MantarayBuff	1	SpiritReforged.Content.Ocean.Items.Lifesaver/MantarayMount.cs
OpenWounds	2	SpiritReforged.Content.Forest.RoguesCrest/OpenWoundsNPC.cs|SpiritReforged.Content.Forest.RoguesCrest/RogueKnifeMinion.cs
PoolNoodleBubbleBuff	1	SpiritReforged.Content.Ocean.Items.PoolNoodle/PoolNoodleProj.cs
RemedyPotionBuff	1	SpiritReforged.Content.Forest.Misc/RemedyPotion.cs
ScarabLightPetBuff	1	SpiritReforged.Content.Desert.ScarabBoss.Items.ScarabPet/ScarabLightPetItem.cs
ScarabMountBuff	1	SpiritReforged.Content.Desert.ScarabBoss.Items/ScarabMountItem.cs
Slowed	1	SpiritReforged.Content.Desert/ThornballThrown.cs
T	1	SpiritReforged.Common.NPCCommon/NPCHelper.cs
T1	1	SpiritReforged.Common.NPCCommon/NPCHelper.cs
T2	1	SpiritReforged.Common.NPCCommon/NPCHelper.cs
T3	1	SpiritReforged.Common.NPCCommon/NPCHelper.cs
