﻿# EmojBuffModScanner catalog
# Mod: AlchemistNPCLite
# Scanned: 2026-05-20T08:26:57.6734727Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\AlchemistNPCLite\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
AlchemistNPCLite/BattleComb	BattleComb	AlchemistNPCLite.Buffs/BattleComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/Blurring	Blurring	AlchemistNPCLite.Buffs/Blurring.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/BuilderComb	BuilderComb	AlchemistNPCLite.Buffs/BuilderComb.cs	Stat	Medium	player\.pickSpeed\s*[\+\-\*\/]?=			
AlchemistNPCLite/CalamityComb	CalamityComb	AlchemistNPCLite.Buffs/CalamityComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/Corrosion	Corrosion	AlchemistNPCLite.Buffs/Corrosion.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/DiscordBuff	DiscordBuff	AlchemistNPCLite.Buffs/DiscordBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/Excavation	Excavation	AlchemistNPCLite.Buffs/Excavation.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/ExplorerComb	ExplorerComb	AlchemistNPCLite.Buffs/ExplorerComb.cs	Mixed	Low	player\.pickSpeed\s*[\+\-\*\/]?=	Lighting\.AddLight		同时含属性与特效/实体信号，需人工确认
AlchemistNPCLite/FishingComb	FishingComb	AlchemistNPCLite.Buffs/FishingComb.cs	CombatVisual	Medium		Lighting\.AddLight		
AlchemistNPCLite/Fortitude	Fortitude	AlchemistNPCLite.Buffs/Fortitude.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/GreaterDangersense	GreaterDangersense	AlchemistNPCLite.Buffs/GreaterDangersense.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/LongInvincible	LongInvincible	AlchemistNPCLite.Buffs/LongInvincible.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/MageComb	MageComb	AlchemistNPCLite.Buffs/MageComb.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
AlchemistNPCLite/MorePotionsComb	MorePotionsComb	AlchemistNPCLite.Buffs/MorePotionsComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/NinjaSkill	NinjaSkill	AlchemistNPCLite.Buffs/NinjaSkill.cs	Stat	High	player\.GetDamage\s*\(|player\.GetCritChance\s*\(|DamageClass\.			
AlchemistNPCLite/RangerComb	RangerComb	AlchemistNPCLite.Buffs/RangerComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/SpiritComb	SpiritComb	AlchemistNPCLite.Buffs/SpiritComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/StationUltimaBuff	StationUltimaBuff	AlchemistNPCLite.Buffs/StationUltimaBuff.cs	Stat	Medium	player\.stat\w+\s*[\+\-\*\/]?=			
AlchemistNPCLite/SummonerComb	SummonerComb	AlchemistNPCLite.Buffs/SummonerComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/Sunshine	Sunshine	AlchemistNPCLite.Buffs/Sunshine.cs	CombatVisual	Medium		Lighting\.AddLight		
AlchemistNPCLite/TankComb	TankComb	AlchemistNPCLite.Buffs/TankComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/ThoriumComb	ThoriumComb	AlchemistNPCLite.Buffs/ThoriumComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/TitanSkin	TitanSkin	AlchemistNPCLite.Buffs/TitanSkin.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/TrapsBuff	TrapsBuff	AlchemistNPCLite.Buffs/TrapsBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/TrueDiscordBuff	TrueDiscordBuff	AlchemistNPCLite.Buffs/TrueDiscordBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
AlchemistNPCLite/UniversalComb	UniversalComb	AlchemistNPCLite.Buffs/UniversalComb.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
AlchemistNPCLite/VanTankComb	VanTankComb	AlchemistNPCLite.Buffs/VanTankComb.cs	Unknown	Low				未检测到常见 stat/visual 模式
