﻿RegisteredTypeName	ReferenceCount	SampleFiles
AeroBuff	1	CalValEX.Items.Pets/AerialiteBubble.cs
AmberBuff	1	CalValEX.Items.Pets.Scuttlers/AmberGeode.cs
AmethystBuff	1	CalValEX.Items.Pets.Scuttlers/AmethystGeode.cs
AmogusBuff	2	CalValEX.AprilFools/Amogus.cs|CalValEX.AprilFools/AmogusItem.cs
AndroombaBuff	1	CalValEX.Items.Pets/SuspiciousLookingGBC.cs
AnthozoanBuff	1	CalValEX.Items.Mounts.Ground/AnthozoanCrab.cs
AquaBuff	1	CalValEX.Items.Pets/MoistLocket.cs
AresBuff	1	CalValEX.Items.Pets.ExoMechs/OminousCore.cs
AuricTeslaBuff	1	CalValEX.Items.Mounts.Ground/YharimCar.cs
AvalonBuff	1	CalValEX.Items.Pets/FlareRune.cs
BabySquidBuff	1	CalValEX.Items.Pets/InkyPollution.cs
BejeweledBuff	1	CalValEX.Items.Pets.Scuttlers/BejeweledSpike.cs
BikeBuff	1	CalValEX.Items.Mounts.Ground/ProfanedCycle.cs
BirdsculeBuff	1	CalValEX.Items.Pets/OgliveBranch.cs
BlockarozBuff	1	CalValEX.Items.Pets/Cube.cs
BloodstoneCarriageBuff	1	CalValEX.Items.Mounts.Ground/BloodstoneCarriage.cs
BrimberryBuff	1	CalValEX.Items.Pets/BrimberryItem.cs
BuppyBuff	1	CalValEX.Items.Pets/RottenHotdog.cs
CalamityBABYBuff	1	CalValEX.Items.Pets/AstraEGGeldon.cs
CatfishBuff	1	CalValEX.Items.Pets/DecayingFishtail.cs
ChilledOut	1	CalValEX.Items.Pets/CoolShades.cs
ckidbuff	1	CalValEX.Items.Pets/CooperShortsword.cs
ClamHermitBuff	1	CalValEX.Items.Pets/ClamHermitMedallion.cs
ClassicBrimmyBuff	1	CalValEX/CalValEXPlayer.cs
cloudbuff	1	CalValEX.Items.Pets.Elementals/CloudCandy.cs
CloudTransformationBuff	1	CalValEX/CalValEXPlayer.cs
CnidBuff	1	CalValEX.Items.Pets/SunDriedShrimp.cs
CoolBlueBuff	1	CalValEX.Items.Pets/BleuBlob.cs
CrabBuff	1	CalValEX.Items.Pets/ClawShroom.cs
