﻿RegisteredTypeName	ReferenceCount	SampleFiles
ArmoredSignathionBuff	1	CalamityFables.Content.Items.SirNautilusDrops/ArmoredSignathionMount.cs
BlowpipeAcid	2	CalamityFables.Content.Items.EarlyGameMisc/AcidExplosion.cs|CalamityFables.Content.Items.EarlyGameMisc/InbuedDartProjectileHandling.cs
BlowpipeLeech	1	CalamityFables.Content.Items.EarlyGameMisc/InbuedDartProjectileHandling.cs
BlowpipeRegen	1	CalamityFables.Content.Items.EarlyGameMisc/LeechExplosion.cs
BrambleMinionBuff	2	CalamityFables.Content.Items.BurntDesert/BrambleMinion.cs|CalamityFables.Content.Items.BurntDesert/BrambleStaff.cs
BrandAmbassadorBuff	1	CalamityFables.Content.Items.Food/WulfrumBrandCereal.cs
CrabSpiritBuff	1	CalamityFables.Content.Items.CrabulonDrops/ClawShell.cs
CrabulonDOT	6	CalamityFables.Content.Boss.MushroomCrabBoss/Crabulon.cs|CalamityFables.Content.Boss.MushroomCrabBoss/CrabulonSporeBomb.cs|CalamityFables.Content.Boss.MushroomCrabBoss/LingeringSporeGas.cs|CalamityFables.Content.Boss.MushroomCrabBoss/SporeHeart.cs|CalamityFables.Content.Items.CrabulonDrops/SporethrowerJet.cs
DrownedScripturesNPCDebuff	1	CalamityFables.Content.Items.EarlyGameMisc/DrownedScripturesNPCDebuff.cs
ElectrifiedBloodBuff	2	CalamityFables.Content.Items.BurntDesert/Electrocells.cs|CalamityFables.Content.Items.Food/StormfriedIceCream.cs
Encased	1	CalamityFables.Content.Items.Snow/IceHatMount.cs
FungalSurge	2	CalamityFables.Content.Items.CrabulonDrops/FungalSurgeArmorShaderData.cs|CalamityFables.Content.Items.CrabulonDrops/LuminousMixture.cs
GemChimesNPCDebuff	2	CalamityFables.Content.Items.EarlyGameMisc/GemChimesNPCDebuff.cs|CalamityFables.Content.Items.EarlyGameMisc/GemChimeSoundwave.cs
GeodecornBuff	1	CalamityFables.Content.Items.VanityMisc/Geodecorn.cs
GhostlySeasaddleBuff	1	CalamityFables.Content.Items.SirNautilusDrops/GhostlySeasaddleMount.cs
InfestationDOT	3	CalamityFables.Content.Boss.MushroomCrabBoss/Crabulon.cs|CalamityFables.Content.Items.CrabulonDrops/InfestationExplosionHitbox.cs|CalamityFables.Content.Items.CrabulonDrops/SyringeGunDart.cs
InkyCapGuardianBuff	1	CalamityFables.Content.Items.CrabulonDrops/InkyBluePendant.cs
InkyCapSpores	1	CalamityFables.Content.Items.CrabulonDrops/InkyCapGuardian.cs
InsatiableHunger	1	CalamityFables.Content.Items.DesertScourgeDrops/RegurgitatedBuff.cs
LittleDragonfishBuff	1	CalamityFables.Content.Items.SirNautilusDrops/CoralCage.cs
MarniteLiftBuff	1	CalamityFables.Content.Items.Marnite/MarniteLift.cs
OpulentInjectionBuff	3	CalamityFables.Content.Items.EarlyGameMisc/OpulentDartgun.cs|CalamityFables.Content.Items.EarlyGameMisc/OpulentDartgunBigSyringe.cs|CalamityFables.Content.Items.EarlyGameMisc/OpulentInjectionBuff.cs
Overamped	1	CalamityFables.Content.Items.DesertScourgeDrops/AmpstringNeedle.cs
PlasmaRodFried	2	CalamityFables.Content.Items.EarlyGameMisc/PlasmaRodBlast.cs|CalamityFables.Content.Items.EarlyGameMisc/PlasmaRodBoltExplosion.cs
Potted	1	CalamityFables.Content.Items.Cursed/PeculiarPotMount.cs
ScourgePoison	1	CalamityFables.Content.Boss.DesertWormBoss/DesertScourge.cs
SludgeSlapNPCDebuff	2	CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapNPCDebuff.cs|CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapProjectile.cs
SludgeSlapSlimelingBuff	1	CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapSlimeling.cs
TarsMark	1	CalamityFables.Content.Items.Cursed/PeculiarPotMount.cs
TinyScourgePetBuff	2	CalamityFables.Content.Items.DesertScourgeDrops/StormlionChewtoy.cs|CalamityFables.Content.Items.DesertScourgeDrops/TinyScourgePet.cs
WarpPodFleshWeaving	2	CalamityFables.Content.Items.CrabulonDrops/SporeWarpPlayer.cs|CalamityFables.Content.Items.CrabulonDrops/WarpPodMapMarker.cs
WhiskedDebuff	1	CalamityFables.Content.NPCs.Desert/SandstormSpriteTwister.cs
WulfrumDroidBuff	2	CalamityFables.Content.Items.Wulfrum/WulfrumController.cs|CalamityFables.Content.Items.Wulfrum/WulfrumDroid.cs
YoblinBucketBuff	1	CalamityFables.Content.Items.EarlyGameMisc/Yoblin.cs
