﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
ArmoredSignathionBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.SirNautilusDrops/ArmoredSignathionBuff.cs
BlowpipeAcid	Y	Y	Mixed	Low	CalamityFables.Content.Items.EarlyGameMisc/BlowpipeAcid.cs
BlowpipeLeech	Y	Y	Stat	Medium	CalamityFables.Content.Items.EarlyGameMisc/BlowpipeLeech.cs
BlowpipeRegen	Y	Y	Mixed	Low	CalamityFables.Content.Items.EarlyGameMisc/BlowpipeRegen.cs
BrambleMinionBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.BurntDesert/BrambleMinionBuff.cs
BrandAmbassadorBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.Food/BrandAmbassadorBuff.cs
CrabSpiritBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.CrabulonDrops/CrabSpiritBuff.cs
CrabulonDOT	Y	Y	Mixed	Low	CalamityFables.Content.Boss.MushroomCrabBoss/CrabulonDOT.cs
DrownedScripturesNPCDebuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.EarlyGameMisc/DrownedScripturesNPCDebuff.cs
ElectrifiedBloodBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.Food/ElectrifiedBloodBuff.cs
Encased	Y	Y	Unknown	Low	CalamityFables.Content.Items.Snow/Encased.cs
FungalSurge	Y	Y	Mixed	Low	CalamityFables.Content.Items.CrabulonDrops/FungalSurge.cs
GemChimesNPCDebuff	Y	Y	Stat	Medium	CalamityFables.Content.Items.EarlyGameMisc/GemChimesNPCDebuff.cs
GeodecornBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.VanityMisc/GeodecornBuff.cs
GhostlySeasaddleBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.SirNautilusDrops/GhostlySeasaddleBuff.cs
InfestationDOT	Y	Y	Unknown	Low	CalamityFables.Content.Items.CrabulonDrops/InfestationDOT.cs
InkyCapGuardianBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.CrabulonDrops/InkyCapGuardianBuff.cs
InkyCapSpores	Y	Y	Mixed	Low	CalamityFables.Content.Items.CrabulonDrops/InkyCapSpores.cs
InsatiableHunger	Y	Y	Mixed	Low	CalamityFables.Content.Items.DesertScourgeDrops/InsatiableHunger.cs
LittleDragonfishBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.SirNautilusDrops/LittleDragonfishBuff.cs
MarniteLiftBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.Marnite/MarniteLiftBuff.cs
OpulentInjectionBuff	Y	Y	Stat	High	CalamityFables.Content.Items.EarlyGameMisc/OpulentInjectionBuff.cs
Overamped	Y	Y	CombatVisual	Medium	CalamityFables.Content.Buffs/Overamped.cs
PlasmaRodFried	Y	Y	CombatVisual	Medium	CalamityFables.Content.Items.EarlyGameMisc/PlasmaRodFried.cs
Potted	Y	Y	Unknown	Low	CalamityFables.Content.Items.Cursed/Potted.cs
ScourgePoison	Y	Y	Unknown	Low	CalamityFables.Content.Buffs/ScourgePoison.cs
SludgeSlapNPCDebuff	Y	Y	CombatVisual	Medium	CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapNPCDebuff.cs
SludgeSlapSlimelingBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapSlimelingBuff.cs
TarsMark	Y	Y	Stat	High	CalamityFables.Content.Items.Cursed/TarsMark.cs
TinyScourgePetBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.DesertScourgeDrops/TinyScourgePetBuff.cs
WarpPodFleshWeaving	Y	Y	Unknown	Low	CalamityFables.Content.Items.CrabulonDrops/WarpPodFleshWeaving.cs
WhiskedDebuff	Y	Y	Unknown	Low	CalamityFables.Content.NPCs.Desert/WhiskedDebuff.cs
WulfrumDroidBuff	Y	Y	Unknown	Low	CalamityFables.Content.Buffs.Summon/WulfrumDroidBuff.cs
YoblinBucketBuff	Y	Y	Unknown	Low	CalamityFables.Content.Items.EarlyGameMisc/YoblinBucketBuff.cs
