﻿# EmojBuffModScanner catalog
# Mod: FargowiltasSouls
# Scanned: 2026-05-20T08:27:33.3166647Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\FargowiltasSouls\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
FargowiltasSouls/AbomCooldownBuff	AbomCooldownBuff	FargowiltasSouls.Content.Buffs.Masomode/AbomCooldownBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/AbomFangBuff	AbomFangBuff	FargowiltasSouls.Content.Buffs.Boss/AbomFangBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/AbomPresenceBuff	AbomPresenceBuff	FargowiltasSouls.Content.Buffs.Boss/AbomPresenceBuff.cs	Stat	Medium	player\.stat\w+\s*[\+\-\*\/]?=			
FargowiltasSouls/AbomRebirthBuff	AbomRebirthBuff	FargowiltasSouls.Content.Buffs.Masomode/AbomRebirthBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/AccursedSarcophagusBuff	AccursedSarcophagusBuff	FargowiltasSouls.Content.Buffs.Pets/AccursedSarcophagusBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/AmbrosiaBuff	AmbrosiaBuff	FargowiltasSouls.Content.Buffs.Souls/AmbrosiaBuff.cs	Stat	High	player\.GetDamage\s*\(|player\.GetAttackSpeed\s*\(|DamageClass\.			
FargowiltasSouls/AnticoagulationBuff	AnticoagulationBuff	FargowiltasSouls.Content.Buffs.Masomode/AnticoagulationBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/AntisocialBuff	AntisocialBuff	FargowiltasSouls.Content.Buffs.Masomode/AntisocialBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
FargowiltasSouls/AtrophiedBuff	AtrophiedBuff	FargowiltasSouls.Content.Buffs.Masomode/AtrophiedBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
FargowiltasSouls/BabyAbomBuff	BabyAbomBuff	FargowiltasSouls.Content.Buffs.Pets/BabyAbomBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/BabyLifelightBuff	BabyLifelightBuff	FargowiltasSouls.Content.Buffs.Pets/BabyLifelightBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/BabySilhouetteBuff	BabySilhouetteBuff	FargowiltasSouls.Content.Buffs.Pets/BabySilhouetteBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/BaronsBurdenBuff	BaronsBurdenBuff	FargowiltasSouls.Content.Buffs.Boss/BaronsBurdenBuff.cs	Stat	Medium	player\.lifeRegen\s*[\+\-\*\/]?=			
FargowiltasSouls/BerserkedBuff	BerserkedBuff	FargowiltasSouls.Content.Buffs.Masomode/BerserkedBuff.cs	Stat	High	player\.GetDamage\s*\(|player\.moveSpeed\s*[\+\-\*\/]?=|DamageClass\.			
FargowiltasSouls/BerserkerInstallBuff	BerserkerInstallBuff	FargowiltasSouls.Content.Buffs/BerserkerInstallBuff.cs	Stat	High	player\.stat\w+\s*[\+\-\*\/]?=|player\.GetDamage\s*\(|player\.GetCritChance\s*\(|player\.moveSpeed\s*[\+\-\*\/]?=|DamageClass\.			
FargowiltasSouls/BerserkerInstallCDBuff	BerserkerInstallCDBuff	FargowiltasSouls.Content.Buffs/BerserkerInstallCDBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/BetsyDashBuff	BetsyDashBuff	FargowiltasSouls.Content.Buffs/BetsyDashBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/BigBrainMinionBuff	BigBrainMinionBuff	FargowiltasSouls.Content.Buffs.Minions/BigBrainMinionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/BiteSizeBaronBuff	BiteSizeBaronBuff	FargowiltasSouls.Content.Buffs.Pets/BiteSizeBaronBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/BloodDrinkerBuff	BloodDrinkerBuff	FargowiltasSouls.Content.Buffs.Masomode/BloodDrinkerBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
FargowiltasSouls/BloodthirstyBuff	BloodthirstyBuff	FargowiltasSouls.Content.Buffs.Masomode/BloodthirstyBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/BrainMinionBuff	BrainMinionBuff	FargowiltasSouls.Content.Buffs.Minions/BrainMinionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/BrainOfConfusionBuff	BrainOfConfusionBuff	FargowiltasSouls.Content.Buffs.Masomode/BrainOfConfusionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/BrokenShellBuff	BrokenShellBuff	FargowiltasSouls.Content.Buffs.Souls/BrokenShellBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/ChibiDeviBuff	ChibiDeviBuff	FargowiltasSouls.Content.Buffs.Pets/ChibiDeviBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/ChibiiRemiiBuff	ChibiiRemiiBuff	FargowiltasSouls.Content.Patreon.Phupperbat/ChibiiRemiiBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/ClippedWingsBuff	ClippedWingsBuff	FargowiltasSouls.Content.Buffs.Masomode/ClippedWingsBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/CoffinTossBuff	CoffinTossBuff	FargowiltasSouls.Content.Buffs.Boss/CoffinTossBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/CrimetroidBuff	CrimetroidBuff	FargowiltasSouls.Content.Patreon.Shucks/CrimetroidBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/CrimsonRegenBuff	CrimsonRegenBuff	FargowiltasSouls.Content.Buffs.Souls/CrimsonRegenBuff.cs	Mixed	Low	player\.stat\w+\s*[\+\-\*\/]?=	Dust\.NewDust		同时含属性与特效/实体信号，需人工确认
FargowiltasSouls/CrippledBuff	CrippledBuff	FargowiltasSouls.Content.Buffs.Masomode/CrippledBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/CrystalSkullBuff	CrystalSkullBuff	FargowiltasSouls.Content.Buffs.Minions/CrystalSkullBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/CurseoftheMoonBuff	CurseoftheMoonBuff	FargowiltasSouls.Content.Buffs.Masomode/CurseoftheMoonBuff.cs	Stat	High	player\.stat\w+\s*[\+\-\*\/]?=|player\.GetDamage\s*\(|player\.GetCritChance\s*\(|DamageClass\.			
FargowiltasSouls/DefenselessBuff	DefenselessBuff	FargowiltasSouls.Content.Buffs.Masomode/DefenselessBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/DoveBuff	DoveBuff	FargowiltasSouls.Content.Patreon.ManliestDove/DoveBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/DukeFishronBuff	DukeFishronBuff	FargowiltasSouls.Content.Patreon.DemonKing/DukeFishronBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/EarthPoison	EarthPoison	FargowiltasSouls.Content.Buffs.Souls/EarthPoison.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/EaterMinionBuff	EaterMinionBuff	FargowiltasSouls.Content.Buffs.Minions/EaterMinionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FirstStrikeBuff	FirstStrikeBuff	FargowiltasSouls.Content.Buffs.Souls/FirstStrikeBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FishMinionBuff	FishMinionBuff	FargowiltasSouls.Content.Patreon.Sasha/FishMinionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FlamesoftheUniverseBuff	FlamesoftheUniverseBuff	FargowiltasSouls.Content.Buffs.Masomode/FlamesoftheUniverseBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FlippedBuff	FlippedBuff	FargowiltasSouls.Content.Buffs.Masomode/FlippedBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FossilReviveCDBuff	FossilReviveCDBuff	FargowiltasSouls.Content.Buffs.Souls/FossilReviveCDBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FrozenBuff	FrozenBuff	FargowiltasSouls.Content.Buffs.Souls/FrozenBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/FusedBuff	FusedBuff	FargowiltasSouls.Content.Buffs.Masomode/FusedBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
FargowiltasSouls/GladiatorBuff	GladiatorBuff	FargowiltasSouls.Content.Buffs/GladiatorBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/GladiatorSpiritBuff	GladiatorSpiritBuff	FargowiltasSouls.Content.Buffs/GladiatorSpiritBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
FargowiltasSouls/GodEaterBuff	GodEaterBuff	FargowiltasSouls.Content.Buffs.Masomode/GodEaterBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/GoldenStasisBuff	GoldenStasisBuff	FargowiltasSouls.Content.Buffs.Souls/GoldenStasisBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/GoldenStasisCDBuff	GoldenStasisCDBuff	FargowiltasSouls.Content.Buffs.Souls/GoldenStasisCDBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/GrabbedBuff	GrabbedBuff	FargowiltasSouls.Content.Buffs.Boss/GrabbedBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/GrabbedHarmlessBuff	GrabbedHarmlessBuff	FargowiltasSouls.Content.Buffs.Boss/GrabbedHarmlessBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
FargowiltasSouls/GuiltyBuff	GuiltyBuff	FargowiltasSouls.Content.Buffs.Masomode/GuiltyBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			
FargowiltasSouls/HallowCooldownBuff	HallowCooldownBuff	FargowiltasSouls.Content.Buffs.Souls/HallowCooldownBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
