﻿RegisteredTypeName	ReferenceCount	SampleFiles
AbomCooldownBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
AbomFangBuff	21	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomDeathray.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomDeathScythe.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomFrostShard.cs
AbomPresenceBuff	3	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/AbominableWand.cs
AbomRebirthBuff	3	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
AccursedSarcophagusBuff	1	FargowiltasSouls.Content.Items.Pets/AccursedRags.cs
AmbrosiaBuff	1	FargowiltasSouls.Content.Projectiles.Souls/BeeFlower.cs
AnticoagulationBuff	15	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/DreadShell.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/LumpOfFlesh.cs|FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
AntisocialBuff	11	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
AtrophiedBuff	10	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantFragment.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/ChaliceoftheMoon.cs
BabyAbomBuff	1	FargowiltasSouls.Content.Items.Pets/BabyScythe.cs
BabyLifelightBuff	1	FargowiltasSouls.Content.Items.Pets/LifelightMasterPet.cs
BabySilhouetteBuff	1	FargowiltasSouls.Content.Items.Pets/PortableFogMachine.cs
BaronsBurdenBuff	1	FargowiltasSouls.Content.Bosses.BanishedBaron/BanishedBaron.cs
BerserkedBuff	18	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviDevilScythe.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviSparklingLoveSmall.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantEyeOfCthulhu.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/EyeofCthulhu.cs
BerserkerInstallBuff	2	FargowiltasSouls.Content.Buffs/BerserkerInstallCDBuff.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
BerserkerInstallCDBuff	2	FargowiltasSouls.Content.Buffs/BerserkerInstallBuff.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
BetsyDashBuff	1	FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
BigBrainMinionBuff	1	FargowiltasSouls.Content.Items.Weapons.SwarmDrops/BigBrainBuster.cs
BiteSizeBaronBuff	1	FargowiltasSouls.Content.Items.Pets/EnerGear.cs
BloodDrinkerBuff	2	FargowiltasSouls.Content.NPCs.EternityModeNPCs.VanillaEnemies.BloodMoon/Dreadnautilus.cs|FargowiltasSouls.Content.Projectiles.Masomode/Bloodshed.cs
BloodthirstyBuff	9	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/GuttedHeart.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/PureHeart.cs|FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
BrainMinionBuff	1	FargowiltasSouls.Content.Items.Weapons.BossDrops/BrainStaff.cs
BrokenShellBuff	2	FargowiltasSouls.Content.Buffs.Souls/ShellHideBuff.cs|FargowiltasSouls.Content.Items.Accessories.Enchantments/TurtleEnchant.cs
ChibiDeviBuff	1	FargowiltasSouls.Content.Items.Pets/ChibiHat.cs
ChibiiRemiiBuff	1	FargowiltasSouls.Content.Patreon.Phupperbat/VermillionTopHat.cs
ClippedWingsBuff	53	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomBoss.cs|FargowiltasSouls.Content.Bosses.AbomBoss/AbomSaucer.cs|FargowiltasSouls.Content.Bosses.BanishedBaron/BanishedBaron.cs|FargowiltasSouls.Content.Bosses.Champions.Cosmos/CosmosChampion.cs
CoffinTossBuff	2	FargowiltasSouls.Content.Bosses.CursedCoffin/CoffinHand.cs|FargowiltasSouls.Content.Bosses.CursedCoffin/CursedSpirit.cs
CrimetroidBuff	1	FargowiltasSouls.Content.Patreon.Shucks/CrimetroidEgg.cs
CrimsonRegenBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/CrimsonEffect.cs
