﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AbomCooldownBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Masomode/AbomCooldownBuff.cs
AbomFangBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Boss/AbomFangBuff.cs
AbomPresenceBuff	Y	Y	Stat	Medium	FargowiltasSouls.Content.Buffs.Boss/AbomPresenceBuff.cs
AbomRebirthBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Masomode/AbomRebirthBuff.cs
AccursedSarcophagusBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Buffs.Pets/AccursedSarcophagusBuff.cs
AmbrosiaBuff	Y	Y	Stat	High	FargowiltasSouls.Content.Buffs.Souls/AmbrosiaBuff.cs
AnticoagulationBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Masomode/AnticoagulationBuff.cs
AntisocialBuff	Y	Y	Stat	High	FargowiltasSouls.Content.Buffs.Masomode/AntisocialBuff.cs
AtrophiedBuff	Y	Y	Stat	High	FargowiltasSouls.Content.Buffs.Masomode/AtrophiedBuff.cs
BabyAbomBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Buffs.Pets/BabyAbomBuff.cs
BabyLifelightBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Buffs.Pets/BabyLifelightBuff.cs
BabySilhouetteBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Buffs.Pets/BabySilhouetteBuff.cs
BaronsBurdenBuff	Y	Y	Stat	Medium	FargowiltasSouls.Content.Buffs.Boss/BaronsBurdenBuff.cs
BerserkedBuff	Y	Y	Stat	High	FargowiltasSouls.Content.Buffs.Masomode/BerserkedBuff.cs
BerserkerInstallBuff	Y	Y	Stat	High	FargowiltasSouls.Content.Buffs/BerserkerInstallBuff.cs
BerserkerInstallCDBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs/BerserkerInstallCDBuff.cs
BetsyDashBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs/BetsyDashBuff.cs
BigBrainMinionBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Minions/BigBrainMinionBuff.cs
BiteSizeBaronBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Buffs.Pets/BiteSizeBaronBuff.cs
BloodDrinkerBuff	Y	Y	Stat	High	FargowiltasSouls.Content.Buffs.Masomode/BloodDrinkerBuff.cs
BloodthirstyBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Masomode/BloodthirstyBuff.cs
BrainMinionBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Minions/BrainMinionBuff.cs
BrainOfConfusionBuff	Y	N	Unknown	Low	FargowiltasSouls.Content.Buffs.Masomode/BrainOfConfusionBuff.cs
BrokenShellBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Souls/BrokenShellBuff.cs
ChibiDeviBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Buffs.Pets/ChibiDeviBuff.cs
ChibiiRemiiBuff	Y	Y	CombatVisual	Medium	FargowiltasSouls.Content.Patreon.Phupperbat/ChibiiRemiiBuff.cs
ClippedWingsBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Masomode/ClippedWingsBuff.cs
CoffinTossBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Buffs.Boss/CoffinTossBuff.cs
CrimetroidBuff	Y	Y	Unknown	Low	FargowiltasSouls.Content.Patreon.Shucks/CrimetroidBuff.cs
