﻿# EmojBuffModScanner catalog
# Mod: Spooky
# Scanned: 2026-05-20T08:28:15.5015528Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\Spooky\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
Spooky/AlternateCooldown	AlternateCooldown	Spooky.Content.Buffs.Debuff/AlternateCooldown.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/BackroomsDecay	BackroomsDecay	Spooky.Content.Buffs.Debuff/BackroomsDecay.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/BeeDamageBuff	BeeDamageBuff	Spooky.Content.Buffs/BeeDamageBuff.cs	CombatVisual	Medium		Dust\.NewDust		
Spooky/BeeHealingBuff	BeeHealingBuff	Spooky.Content.Buffs/BeeHealingBuff.cs	CombatVisual	Medium		Dust\.NewDust		
Spooky/BeePetBuff	BeePetBuff	Spooky.Content.Buffs.Pets/BeePetBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
Spooky/BeePollinationProcessBuff	BeePollinationProcessBuff	Spooky.Content.Buffs.Debuff/BeePollinationProcessBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/BigBonePetBuff	BigBonePetBuff	Spooky.Content.Buffs.Pets/BigBonePetBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
Spooky/BillyBuff	BillyBuff	Spooky.Content.Buffs.Minion/BillyBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/BlueberryFrost	BlueberryFrost	Spooky.Content.Buffs.Debuff/BlueberryFrost.cs	CombatVisual	Medium		Dust\.NewDust		
Spooky/BouncerDeathmark	BouncerDeathmark	Spooky.Content.Buffs.Debuff/BouncerDeathmark.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/BrainyBuff	BrainyBuff	Spooky.Content.Buffs.Minion/BrainyBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/BustlingGlowshroomHeal	BustlingGlowshroomHeal	Spooky.Content.Buffs/BustlingGlowshroomHeal.cs	Mixed	Low	player\.lifeRegen\s*[\+\-\*\/]?=	Dust\.NewDust		同时含属性与特效/实体信号，需人工确认
Spooky/CatBuff	CatBuff	Spooky.Content.Buffs.Pets/CatBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
Spooky/CatacombDebuff	CatacombDebuff	Spooky.Content.Buffs.Debuff/CatacombDebuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
Spooky/CavefishStunned	CavefishStunned	Spooky.Content.Buffs.Debuff/CavefishStunned.cs	CombatVisual	Medium		Dust\.NewDust		
