﻿RegisteredTypeName	ReferenceCount	SampleFiles
AlternateCooldown	1	Spooky.Core/SpookyPlayer.cs
BackroomsDecay	1	Spooky.Content.Projectiles.Cemetery/BackroomsCorpseHead.cs
BeeDamageBuff	3	Spooky.Content.NPCs.Catacomb.Layer2/PollinatorBeeDamage.cs|Spooky.Content.NPCs.Catacomb.Layer2/PollinatorBeeHealing.cs|Spooky.Core/NPCGlobal.cs
BeeHealingBuff	3	Spooky.Content.NPCs.Catacomb.Layer2/PollinatorBeeDamage.cs|Spooky.Content.NPCs.Catacomb.Layer2/PollinatorBeeHealing.cs|Spooky.Core/NPCGlobal.cs
BeePetBuff	1	Spooky.Content.Items.Pets/Honeycomb.cs
BeePollinationProcessBuff	2	Spooky.Content.NPCs.Catacomb.Layer2/PollinatorBeeDamage.cs|Spooky.Content.NPCs.Catacomb.Layer2/PollinatorBeeHealing.cs
BigBonePetBuff	1	Spooky.Content.Items.Pets/SkullSeed.cs
BillyBuff	2	Spooky.Content.Items.SpookyHell.Sentient/SentientRavenStaff.cs|Spooky.Content.Projectiles.Sentient/Billy.cs
BlueberryFrost	2	Spooky.Content.Projectiles.Blooms/BlueberryExplosion.cs|Spooky.Core/BloomBuffsPlayer.cs
BouncerDeathmark	1	Spooky.Content.NPCs.Friendly/SkeletonBouncer.cs
BrainyBuff	2	Spooky.Content.Projectiles.SpookyHell/BrainJarProj.cs|Spooky.Content.Projectiles.SpookyHell/Brainy.cs
BustlingGlowshroomHeal	1	Spooky.Core/SpookyPlayer.cs
CatacombDebuff	2	Spooky.Content.Biomes/CatacombBiome.cs|Spooky.Core/ItemGlobal.cs
CatBuff	1	Spooky.Content.Items.Pets/CatEyes.cs
CavefishStunned	1	Spooky.Content.Projectiles.Minibiomes.Ocean/FridgeFish.cs
CemeteryLilyBuff	1	Spooky.Core/BloomBuffsPlayer.cs
ChalupoBuff	1	Spooky.Content.Items.Pets/ChalupoPepper.cs
ColumboBuff	1	Spooky.Content.Items.Pets/BrownieOrganic.cs
ColumboneBuff	1	Spooky.Content.Items.Pets/BrownieBone.cs
ColumbooBuff	1	Spooky.Content.Items.Pets/BrownieGhost.cs
ColumboPetCombinedBuff	1	Spooky.Content.Items.Pets/BrownieCombined.cs
ColumborangeBuff	1	Spooky.Content.Items.Pets/BrownieOrange.cs
CrossCooldown	2	Spooky.Content.Items.Catacomb/CrossCharm.cs|Spooky.Core/SpookyPlayer.cs
CucumberStomachDebuff	1	Spooky.Content.Projectiles.Blooms/CucumberStomach.cs
CursedDollDebuff	2	Spooky.Content.Projectiles.Minibiomes.Christmas/CursedDollProj.cs|Spooky.Core/NPCGlobal.cs
DaffodilHandBuff	2	Spooky.Content.Items.Catacomb/DaffodilStaff.cs|Spooky.Content.Projectiles.Catacomb/DaffodilHandMinion.cs
DutchmanPipeDebuff	2	Spooky.Core/BloomBuffsPlayer.cs|Spooky.Core/NPCGlobal.cs
EelTagDebuff	1	Spooky.Content.Projectiles.Minibiomes.Ocean/ZombieEelHead.cs
EggplantWhipDebuff	1	Spooky.Content.Projectiles.Minibiomes.Vegetable/EggplantWhipProj.cs
EmbryoCooldown	1	Spooky.Core/SpookyPlayer.cs
