﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AlternateCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/AlternateCooldown.cs
BackroomsDecay	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/BackroomsDecay.cs
BeeDamageBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs/BeeDamageBuff.cs
BeeHealingBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs/BeeHealingBuff.cs
BeePetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/BeePetBuff.cs
BeePollinationProcessBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/BeePollinationProcessBuff.cs
BigBonePetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/BigBonePetBuff.cs
BillyBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/BillyBuff.cs
BlueberryFrost	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/BlueberryFrost.cs
BouncerDeathmark	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/BouncerDeathmark.cs
BrainyBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/BrainyBuff.cs
BustlingGlowshroomHeal	Y	Y	Mixed	Low	Spooky.Content.Buffs/BustlingGlowshroomHeal.cs
CatacombDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/CatacombDebuff.cs
CatBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/CatBuff.cs
CavefishStunned	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/CavefishStunned.cs
CemeteryLilyBuff	Y	Y	Stat	High	Spooky.Content.Buffs/CemeteryLilyBuff.cs
ChalupoBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ChalupoBuff.cs
ColumboBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ColumboBuff.cs
ColumboneBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ColumboneBuff.cs
ColumbooBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ColumbooBuff.cs
ColumboPetCombinedBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ColumboPetCombinedBuff.cs
ColumborangeBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/ColumborangeBuff.cs
CrossCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/CrossCooldown.cs
CucumberStomachDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/CucumberStomachDebuff.cs
CursedDollDebuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/CursedDollDebuff.cs
DaffodilHandBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/DaffodilHandBuff.cs
DutchmanPipeDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/DutchmanPipeDebuff.cs
EelTagDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/EelTagDebuff.cs
EggplantWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/EggplantWhipDebuff.cs
EmbryoCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/EmbryoCooldown.cs
EmbryoRevival	Y	Y	Stat	High	Spooky.Content.Buffs/EmbryoRevival.cs
EnsnaredCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/EnsnaredCooldown.cs
EnsnaredDebuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/EnsnaredDebuff.cs
EntityMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/EntityMinionBuff.cs
FleshWhipCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/FleshWhipCooldown.cs
FleshWhipDefense	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/FleshWhipDefense.cs
FleshWhipDefense2	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/FleshWhipDefense2.cs
FlowerArmorCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/FlowerArmorCooldown.cs
FlyBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs/FlyBuff.cs
FlyCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/FlyCooldown.cs
FlyPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/FlyPetBuff.cs
FuzzBatPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/FuzzBatPetBuff.cs
GhostBanditDefense	Y	Y	Stat	Medium	Spooky.Content.Buffs/GhostBanditDefense.cs
GhostPepperMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/GhostPepperMinionBuff.cs
GhostPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/GhostPetBuff.cs
GlassEyeDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/GlassEyeDebuff.cs
GooseberryBoostBuff	Y	Y	Stat	Medium	Spooky.Content.Buffs/GooseberryBoostBuff.cs
GourdDecay	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/GourdDecay.cs
GrugBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/GrugBuff.cs
HallucinationDebuff1	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/HallucinationDebuff1.cs
HazmatMinionToxic	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/HazmatMinionToxic.cs
HerobrineAltarCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/HerobrineAltarCooldown.cs
HunterScarfMark	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/HunterScarfMark.cs
InchwormBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/InchwormBuff.cs
KrampusBricksCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/KrampusBricksCooldown.cs
KrampusShapeBuff	Y	Y	Stat	High	Spooky.Content.Buffs/KrampusShapeBuff.cs
LeechBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/LeechBuff.cs
LeechWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/LeechWhipDebuff.cs
LongisquamaPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/LongisquamaPetBuff.cs
MocoPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/MocoPetBuff.cs
MonumentMythosCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/MonumentMythosCooldown.cs
MonumentMythosShatter	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/MonumentMythosShatter.cs
NerveWhipDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/NerveWhipDebuff.cs
NineTailsDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.WhipDebuff/NineTailsDebuff.cs
NoseBlessingBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs/NoseBlessingBuff.cs
NoseBlessingDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/NoseBlessingDebuff.cs
NoseBlessingDebuffCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/NoseBlessingDebuffCooldown.cs
NoseMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/NoseMinionBuff.cs
OldHunterBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/OldHunterBuff.cs
OrroboroPetBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/OrroboroPetBuff.cs
PandoraBeanBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/PandoraBeanBuff.cs
PandoraCrossCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/PandoraCrossCooldown.cs
PandoraHandCooldown	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/PandoraHandCooldown.cs
PepperMinionBuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Minion/PepperMinionBuff.cs
PepperSpice	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Debuff/PepperSpice.cs
PeptoDebuff	Y	Y	Unknown	Low	Spooky.Content.Buffs.Debuff/PeptoDebuff.cs
PetscopBuff	Y	Y	CombatVisual	Medium	Spooky.Content.Buffs.Pets/PetscopBuff.cs
