StableKey	Mod	SuggestedPhase	Confidence	RelativeFile	ScanFile	Note
CalamityMod/AbsorberRegen	CalamityMod	Unknown	Low	Buffs/StatBuffs/AbsorberRegen.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AbyssalMadness	CalamityMod	Unknown	Low	Buffs/StatBuffs/AbyssalMadness.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AeolianEarthBuff	CalamityMod	Unknown	Low	Buffs/StatBuffs/AeolianEarthBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/Afflicted	CalamityMod	Unknown	Low	Buffs/StatBuffs/Afflicted.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AlcoholPoisoning	CalamityMod	Unknown	Low	Buffs/Alcohol/AlcoholPoisoning.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AmidiasBlessing	CalamityMod	Unknown	Low	Buffs/StatBuffs/AmidiasBlessing.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AmphibiansGuitarBuff	CalamityMod	Unknown	Low	Buffs/Summon/AmphibiansGuitarBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AndromedaBuff	CalamityMod	Unknown	Low	Buffs/Mounts/AndromedaBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AndromedaCripple	CalamityMod	Unknown	Low	Buffs/StatDebuffs/AndromedaCripple.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AndromedaSmallBuff	CalamityMod	Unknown	Low	Buffs/Mounts/AndromedaSmallBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AnechoicCoatingBuff	CalamityMod	Unknown	Low	Buffs/Potions/AnechoicCoatingBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AquaticHeartBuff	CalamityMod	Unknown	Low	Buffs/StatBuffs/AquaticHeartBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AquaticHeartWaterSpeed	CalamityMod	Unknown	Low	Buffs/StatBuffs/AquaticHeartWaterSpeed.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/ArmorCrunch	CalamityMod	Unknown	Low	Buffs/StatDebuffs/ArmorCrunch.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AstralInjectionBuff	CalamityMod	Unknown	Low	Buffs/Potions/AstralInjectionBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/AvertorBonus	CalamityMod	Unknown	Low	Buffs/StatBuffs/AvertorBonus.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BaguetteBuff	CalamityMod	Unknown	Low	Buffs/Potions/BaguetteBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BanishingFire	CalamityMod	Unknown	Low	Buffs/DamageOverTime/BanishingFire.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BaseSummonBuff	CalamityMod	Unknown	Low	Buffs/Summon/BaseSummonBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BloodfinBoost	CalamityMod	Unknown	Low	Buffs/Potions/BloodfinBoost.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BloodflareBloodFrenzy	CalamityMod	Unknown	Low	Buffs/StatBuffs/BloodflareBloodFrenzy.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BloodyMaryBuff	CalamityMod	Unknown	Low	Buffs/Alcohol/BloodyMaryBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BossEffects	CalamityMod	Unknown	Low	Buffs/StatBuffs/BossEffects.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BoundingBuff	CalamityMod	Unknown	Low	Buffs/Potions/BoundingBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BrimflameFrenzyBuff	CalamityMod	Unknown	Low	Buffs/StatBuffs/BrimflameFrenzyBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BrimroseMount	CalamityMod	Unknown	Low	Buffs/Mounts/BrimroseMount.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/BumbledogeMount	CalamityMod	Unknown	Low	Buffs/Mounts/BumbledogeMount.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CalciumBuff	CalamityMod	Unknown	Low	Buffs/Potions/CalciumBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CaribbeanRumBuff	CalamityMod	Unknown	Low	Buffs/Alcohol/CaribbeanRumBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CeaselessHunger	CalamityMod	Unknown	Low	Buffs/Potions/CeaselessHunger.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/ChaosCandleBuff	CalamityMod	Unknown	Low	Buffs/Placeables/ChaosCandleBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/ChiBuff	CalamityMod	Unknown	Low	Buffs/StatBuffs/ChiBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/ChiRegenBuff	CalamityMod	Unknown	Low	Buffs/StatBuffs/ChiRegenBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CinnamonRollBuff	CalamityMod	Unknown	Low	Buffs/Alcohol/CinnamonRollBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/Clamity	CalamityMod	Unknown	Low	Buffs/StatDebuffs/Clamity.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CnidarianSummonTagBuff	CalamityMod	Unknown	Low	Buffs/Summon/Whips/CnidarianSummonTagBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CoralSymbiosis	CalamityMod	Unknown	Low	Buffs/StatBuffs/CoralSymbiosis.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CorruptionEffigyBuff	CalamityMod	Unknown	Low	Buffs/Placeables/CorruptionEffigyBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CosmicFreeze	CalamityMod	Unknown	Low	Buffs/StatBuffs/CosmicFreeze.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/CrimsonEffigyBuff	CalamityMod	Unknown	Low	Buffs/Placeables/CrimsonEffigyBuff.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
CalamityMod/Crumbling	CalamityMod	Unknown	Low	Buffs/StatDebuffs/Crumbling.cs	CalamityMod_buff_scan.json	未检测到常见 stat/visual 模式
