﻿RegisteredTypeName	ReferenceCount	SampleFiles
BattleComb	2	AlchemistNPCLite.Buffs/UniversalComb.cs|AlchemistNPCLite.Items/BattleCombination.cs
Blurring	1	AlchemistNPCLite.Items/BlurringPotion.cs
BuilderComb	1	AlchemistNPCLite.Items/BuilderCombination.cs
CalamityComb	1	AlchemistNPCLite.Items/CalamityCombination.cs
Corrosion	2	AlchemistNPCLite.Projectiles/CorrosiveFlask.cs|AlchemistNPCLite.Projectiles/CorrosiveFlaskCloud.cs
DiscordBuff	3	AlchemistNPCLite/AlchemistNPCLitePlayer.cs|AlchemistNPCLite.Buffs/TrueDiscordBuff.cs|AlchemistNPCLite.Items/DiscordPotion.cs
Excavation	2	AlchemistNPCLite.Items/AlchemistGlobalItem.cs|AlchemistNPCLite.Items/ExcavationPotion.cs
ExplorerComb	1	AlchemistNPCLite.Items/ExplorerCombination.cs
FishingComb	1	AlchemistNPCLite.Items/FishingCombination.cs
Fortitude	1	AlchemistNPCLite.Items/FortitudePotion.cs
GreaterDangersense	3	AlchemistNPCLite.Items/GreaterDangersensePotion.cs|AlchemistNPCLite.NPCs/ModGlobalNPC.cs|AlchemistNPCLite.Projectiles/AlchemistGlobalProjectile.cs
LongInvincible	2	AlchemistNPCLite.Buffs/TankComb.cs|AlchemistNPCLite.Items/InvincibilityPotion.cs
MageComb	2	AlchemistNPCLite.Buffs/UniversalComb.cs|AlchemistNPCLite.Items/MageCombination.cs
MorePotionsComb	1	AlchemistNPCLite.Items/MorePotionsCombination.cs
NinjaSkill	1	AlchemistNPCLite.Items/NinjaPotion.cs
RangerComb	2	AlchemistNPCLite.Buffs/UniversalComb.cs|AlchemistNPCLite.Items/RangerCombination.cs
SpiritComb	1	AlchemistNPCLite.Items/SpiritCombination.cs
StationUltimaBuff	1	AlchemistNPCLite.Items/UltimaCake.cs
SummonerComb	2	AlchemistNPCLite.Buffs/UniversalComb.cs|AlchemistNPCLite.Items/SummonerCombination.cs
Sunshine	1	AlchemistNPCLite.Items/SunshinePotion.cs
TankComb	2	AlchemistNPCLite.Buffs/UniversalComb.cs|AlchemistNPCLite.Items/TankCombination.cs
ThoriumComb	1	AlchemistNPCLite.Items/ThoriumCombination.cs
TitanSkin	2	AlchemistNPCLite.Buffs/TankComb.cs|AlchemistNPCLite.Items/TitanSkinPotion.cs
TrapsBuff	1	AlchemistNPCLite.Items/TrapsPotion.cs
TrueDiscordBuff	2	AlchemistNPCLite/AlchemistNPCLitePlayer.cs|AlchemistNPCLite.Items/PerfectDiscordPotion.cs
UniversalComb	1	AlchemistNPCLite.Items/UniversalCombination.cs
VanTankComb	2	AlchemistNPCLite.Buffs/UniversalComb.cs|AlchemistNPCLite.Items/VanTankCombination.cs
