﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AeroBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/AeroBuff.cs
AmberBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets.Scuttlers/AmberBuff.cs
AmethystBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets.Scuttlers/AmethystBuff.cs
AmogusBuff	Y	Y	CombatVisual	Medium	CalValEX.AprilFools/AmogusBuff.cs
AndroombaBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/AndroombaBuff.cs
AnthozoanBuff	Y	Y	Unknown	Low	CalValEX.Buffs.Mounts/AnthozoanBuff.cs
AquaBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/AquaBuff.cs
AresBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets.ExoMechs/AresBuff.cs
AuricTeslaBuff	Y	Y	Unknown	Low	CalValEX.Buffs.Mounts/AuricTeslaBuff.cs
AvalonBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/AvalonBuff.cs
BabySquidBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/BabySquidBuff.cs
BeeBuff	Y	N	CombatVisual	Medium	CalValEX.Buffs.Pets/BeeBuff.cs
BejeweledBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets.Scuttlers/BejeweledBuff.cs
BikeBuff	Y	Y	Unknown	Low	CalValEX.Buffs.Mounts/BikeBuff.cs
BirdsculeBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/BirdsculeBuff.cs
BlockarozBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/BlockarozBuff.cs
BloodstoneCarriageBuff	Y	Y	Unknown	Low	CalValEX.Buffs.Mounts/BloodstoneCarriageBuff.cs
BrimberryBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/BrimberryBuff.cs
BuppyBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/BuppyBuff.cs
CalamityBABYBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/CalamityBABYBuff.cs
CatfishBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/CatfishBuff.cs
ChilledOut	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/ChilledOut.cs
ckidbuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/ckidbuff.cs
ClamHermitBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/ClamHermitBuff.cs
ClassicBrimmyBuff	Y	Y	Unknown	Low	CalValEX.Buffs.Transformations/ClassicBrimmyBuff.cs
cloudbuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets.Elementals/cloudbuff.cs
CloudTransformationBuff	Y	Y	Unknown	Low	CalValEX.Buffs.Transformations/CloudTransformationBuff.cs
CnidBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/CnidBuff.cs
CoolBlueBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/CoolBlueBuff.cs
CrabBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/CrabBuff.cs
CrystalBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets.Scuttlers/CrystalBuff.cs
DarksunSpiritBuff	Y	Y	Unknown	Low	CalValEX.Buffs.LightPets/DarksunSpiritBuff.cs
DebrisMount	Y	Y	Unknown	Low	CalValEX.Buffs.Mounts/DebrisMount.cs
DEBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/DEBuff.cs
DesertBuff	Y	Y	CombatVisual	Medium	CalValEX.Buffs.Pets/DesertBuff.cs
