﻿# EmojBuffModScanner catalog
# Mod: CalamityFables
# Scanned: 2026-05-20T08:27:01.8390086Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\CalamityFables\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
CalamityFables/ArmoredSignathionBuff	ArmoredSignathionBuff	CalamityFables.Content.Items.SirNautilusDrops/ArmoredSignathionBuff.cs	Unknown	Low				DisplayName: Royal Steed
CalamityFables/BlowpipeAcid	BlowpipeAcid	CalamityFables.Content.Items.EarlyGameMisc/BlowpipeAcid.cs	Mixed	Low	player\.stat\w+\s*[\+\-\*\/]?=	Dust\.NewDust		DisplayName: Acid
CalamityFables/BlowpipeLeech	BlowpipeLeech	CalamityFables.Content.Items.EarlyGameMisc/BlowpipeLeech.cs	Stat	Medium	player\.lifeRegen\s*[\+\-\*\/]?=			
CalamityFables/BlowpipeRegen	BlowpipeRegen	CalamityFables.Content.Items.EarlyGameMisc/BlowpipeRegen.cs	Mixed	Low	player\.lifeRegen\s*[\+\-\*\/]?=	Dust\.NewDust		同时含属性与特效/实体信号，需人工确认
CalamityFables/BrambleMinionBuff	BrambleMinionBuff	CalamityFables.Content.Items.BurntDesert/BrambleMinionBuff.cs	Unknown	Low				DisplayName: Tumbleweed Storm
CalamityFables/BrandAmbassadorBuff	BrandAmbassadorBuff	CalamityFables.Content.Items.Food/BrandAmbassadorBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityFables/CrabSpiritBuff	CrabSpiritBuff	CalamityFables.Content.Items.CrabulonDrops/CrabSpiritBuff.cs	Unknown	Low				DisplayName: Mudcrab Spirit
CalamityFables/CrabulonDOT	CrabulonDOT	CalamityFables.Content.Boss.MushroomCrabBoss/CrabulonDOT.cs	Mixed	Low	player\.lifeRegen\s*[\+\-\*\/]?=	Dust\.NewDust		DisplayName: Spored
CalamityFables/DrownedScripturesNPCDebuff	DrownedScripturesNPCDebuff	CalamityFables.Content.Items.EarlyGameMisc/DrownedScripturesNPCDebuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityFables/ElectrifiedBloodBuff	ElectrifiedBloodBuff	CalamityFables.Content.Items.Food/ElectrifiedBloodBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityFables/Encased	Encased	CalamityFables.Content.Items.Snow/Encased.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityFables/FungalSurge	FungalSurge	CalamityFables.Content.Items.CrabulonDrops/FungalSurge.cs	Mixed	Low	player\.stat\w+\s*[\+\-\*\/]?=|player\.GetDamage\s*\(|player\.GetAttackSpeed\s*\(|player\.moveSpeed\s*[\+\-\*\/]?=|DamageClass\.	Dust\.NewDust|Lighting\.AddLight		DisplayName: Fungal Surge
CalamityFables/GemChimesNPCDebuff	GemChimesNPCDebuff	CalamityFables.Content.Items.EarlyGameMisc/GemChimesNPCDebuff.cs	Stat	Medium	DamageClass\.			DisplayName: Resonating
CalamityFables/GeodecornBuff	GeodecornBuff	CalamityFables.Content.Items.VanityMisc/GeodecornBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CalamityFables/GhostlySeasaddleBuff	GhostlySeasaddleBuff	CalamityFables.Content.Items.SirNautilusDrops/GhostlySeasaddleBuff.cs	Unknown	Low				DisplayName: Velocicampus Mount
CalamityFables/InfestationDOT	InfestationDOT	CalamityFables.Content.Items.CrabulonDrops/InfestationDOT.cs	Unknown	Low				DisplayName: Infested!
CalamityFables/InkyCapGuardianBuff	InkyCapGuardianBuff	CalamityFables.Content.Items.CrabulonDrops/InkyCapGuardianBuff.cs	Unknown	Low				DisplayName: Inky Cap Guardian
CalamityFables/InkyCapSpores	InkyCapSpores	CalamityFables.Content.Items.CrabulonDrops/InkyCapSpores.cs	Mixed	Low	player\.lifeRegen\s*[\+\-\*\/]?=	Dust\.NewDust		DisplayName: Inky Cap Spores
CalamityFables/InsatiableHunger	InsatiableHunger	CalamityFables.Content.Items.DesertScourgeDrops/InsatiableHunger.cs	Mixed	Low	player\.stat\w+\s*[\+\-\*\/]?=|player\.GetDamage\s*\(|player\.GetCritChance\s*\(|player\.GetAttackSpeed\s*\(|player\.moveSpeed\s*[\+\-\*\/]?=|player\.pickSpeed\s*[\+\-\*\/]?=|DamageClass\.	Dust\.NewDust		DisplayName: Feed The Hunger
CalamityFables/LittleDragonfishBuff	LittleDragonfishBuff	CalamityFables.Content.Items.SirNautilusDrops/LittleDragonfishBuff.cs	Unknown	Low				DisplayName: Little Dragonfish
CalamityFables/MarniteLiftBuff	MarniteLiftBuff	CalamityFables.Content.Items.Marnite/MarniteLiftBuff.cs	Unknown	Low				DisplayName: Marnite Lift
CalamityFables/OpulentInjectionBuff	OpulentInjectionBuff	CalamityFables.Content.Items.EarlyGameMisc/OpulentInjectionBuff.cs	Stat	High	player\.GetDamage\s*\(|player\.GetAttackSpeed\s*\(|player\.lifeRegen\s*[\+\-\*\/]?=|DamageClass\.			
CalamityFables/Overamped	Overamped	CalamityFables.Content.Buffs/Overamped.cs	CombatVisual	Medium		Dust\.NewDust		DisplayName: Over-Amped
CalamityFables/PlasmaRodFried	PlasmaRodFried	CalamityFables.Content.Items.EarlyGameMisc/PlasmaRodFried.cs	CombatVisual	Medium		Dust\.NewDust		DisplayName: Fried
CalamityFables/Potted	Potted	CalamityFables.Content.Items.Cursed/Potted.cs	Unknown	Low				DisplayName: Potted
CalamityFables/ScourgePoison	ScourgePoison	CalamityFables.Content.Buffs/ScourgePoison.cs	Unknown	Low				DisplayName: Scourge Poison
CalamityFables/SludgeSlapNPCDebuff	SludgeSlapNPCDebuff	CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapNPCDebuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		DisplayName: Sludged
CalamityFables/SludgeSlapSlimelingBuff	SludgeSlapSlimelingBuff	CalamityFables.Content.Items.EarlyGameMisc/SludgeSlapSlimelingBuff.cs	Unknown	Low				DisplayName: Slimelings
CalamityFables/TarsMark	TarsMark	CalamityFables.Content.Items.Cursed/TarsMark.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			DisplayName: Tar's Mark
CalamityFables/TinyScourgePetBuff	TinyScourgePetBuff	CalamityFables.Content.Items.DesertScourgeDrops/TinyScourgePetBuff.cs	Unknown	Low				DisplayName: Juvenile Scourge
