﻿RegisteredTypeName	ReferenceCount	SampleFiles
AbandonedSlimeBuff	1	CalamityMod.Projectiles.Summon/AstrageldonSummon.cs
AbsorberAffliction	2	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs
AbsorberRegen	1	CalamityMod.Projectiles.Healing/AbsorberAura.cs
AbyssalDivingSuitBuff	1	CalamityMod.CalPlayer/CalamityPlayer.cs
AbyssalDivingSuitPlates	1	CalamityMod.CalPlayer/CalamityPlayer.cs
AbyssalMadness	1	CalamityMod.CalPlayer/CalamityPlayer.cs
AdrenalineMode	1	CalamityMod.CalPlayer/CalamityPlayer.cs
Afflicted	1	CalamityMod.Items.Accessories/Affliction.cs
AkatoBuff	1	CalamityMod.Items.Pets/ForgottenDragonEgg.cs
AlcoholPoisoning	1	CalamityMod.CalPlayer/CalamityPlayer.cs
AmidiasBlessing	2	CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.NPCs.TownNPCs/SEAHOE.cs
AncientMineralSharkBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/ApexShark.cs
AndromedaBuff	1	CalamityMod.Projectiles.Summon/GiantIbanRobotOfDoom.cs
AndromedaCripple	1	CalamityMod.Items.Weapons.Summon/FlamsteedRing.cs
AndromedaSmallBuff	1	CalamityMod.Projectiles.Summon/GiantIbanRobotOfDoom.cs
AnechoicCoatingBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/AnechoicCoating.cs
AquaticHeartBuff	1	CalamityMod.CalPlayer/CalamityPlayer.cs
AquaticHeartWaterSpeed	1	CalamityMod.Buffs.StatBuffs/AquaticHeartBuff.cs
AquaticStar	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/AquaticStarMinion.cs
ArcherofLunamoon	2	CalamityMod.Items.Accessories/DaawnlightSpiritOrigin.cs|CalamityMod.Projectiles.Pets/DaawnlightSpiritOriginMinion.cs
ArmorCrunch	36	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Accessories/AsgardianAegis.cs|CalamityMod.Items.Weapons.Melee/Aftershock.cs|CalamityMod.NPCs/CalamityGlobalNPC.cs
AstralInfectionDebuff	74	CalamityMod/CalamityLists.cs|CalamityMod/NPCStats.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Accessories/HideofAstrumDeus.cs|CalamityMod.Items.Fishing.AstralCatches/UrsaSergeant.cs
AstralInjectionBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/AstralInjection.cs
AstralProbeBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/AstralProbeSummon.cs
AstrophageBuff	1	CalamityMod.Items.Fishing.AstralCatches/AstrophageItem.cs
AvertorBonus	1	CalamityMod.Projectiles.Rogue/CorpusAvertorStealth.cs
BabyBloodCrawlerBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/BabyBloodCrawler.cs
BabyGhostBellBuff	1	CalamityMod.Items.Fishing.SunkenSeaCatches/RustedJingleBell.cs
BabySlimeGodBuff	3	CalamityMod.Items.Armor.Statigel/StatigelHeadSummon.cs|CalamityMod.Projectiles.Summon/CorruptionSlimeGodMinion.cs|CalamityMod.Projectiles.Summon/CrimsonSlimeGodMinion.cs
BabyStormlionBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/StormjawBaby.cs
BaguetteBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/Baguette.cs
BanishingFire	6	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Projectiles.Summon/AngelBolt.cs|CalamityMod.Projectiles.Summon/AngelOrb.cs|CalamityMod.Projectiles.Summon/AngelRay.cs
BearBuff	1	CalamityMod.Items.Pets/BearsEye.cs
BelladonnaSpiritBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/BelladonnaSpirit.cs
BlackHawkBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/BlackHawkSummon.cs
BloodBound	2	CalamityMod.Items.Pets/BloodyVein.cs|CalamityMod.Projectiles.Pets/PerforaMini.cs
BloodfinBoost	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Fishing.BrimstoneCragCatches/Bloodfin.cs
BloodflareBloodFrenzy	1	CalamityMod.CalPlayer/CalamityPlayer.cs
BloodyMaryBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/BloodyMary.cs
BlueCandleBuff	4	CalamityMod.Tiles.Furniture/BlueCandle.cs|CalamityMod.Tiles.Furniture/PinkCandle.cs|CalamityMod.Tiles.Furniture/PurpleCandle.cs|CalamityMod.Tiles.Furniture/YellowCandle.cs
BossEffects	1	CalamityMod.NPCs/CalamityGlobalNPC.cs
BoundingBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/BoundingPotion.cs
BrainRot	16	CalamityMod/CalamityLists.cs|CalamityMod.Items.Accessories/AsgardianAegis.cs|CalamityMod.Items.Accessories/CorruptFlask.cs|CalamityMod.Items.Weapons.Melee/PerfectDark.cs|CalamityMod.NPCs/CalamityGlobalNPC.cs
BrimflameFrenzyBuff	1	CalamityMod.CalPlayer/CalamityPlayer.cs
BrimlingBuff	1	CalamityMod.Items.Pets/CharredRelic.cs
BrimroseMount	1	CalamityMod.Items.Mounts/BrimroseChair.cs
BrimseekerBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/DormantBrimseekerBab.cs
BrimstoneFlames	85	CalamityMod/CalamityLists.cs|CalamityMod/NPCStats.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Accessories/AsgardianAegis.cs|CalamityMod.Items.Accessories/AsgardsValor.cs
BrimstoneWaifu	1	CalamityMod.Items.Accessories/RoseStone.cs
BrittleStar	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/BrittleStarMinion.cs
BrutalCarnage	2	CalamityMod.Items.Weapons.Melee/BlightedCleaver.cs|CalamityMod.Items.Weapons.Melee/DefiledGreatsword.cs
BumbledogeMount	1	CalamityMod.Items.Mounts/BUMBLEDOGE.cs
BurningBlood	31	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Accessories/AsgardianAegis.cs|CalamityMod.Items.Accessories/CrimsonFlask.cs|CalamityMod.Items.Weapons.Melee/VeinBurster.cs
CalamarisLamentBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CalamarisLamentMinion.cs
CalciumBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/CalciumPotion.cs
CaribbeanRumBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/CaribbeanRum.cs
CausticStaffBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CausticStaffSummon.cs
CeaselessHunger	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/CeaselessHungerPotion.cs
ChaosCandleBuff	1	CalamityMod.Tiles.Furniture/ChaosCandle.cs
ChibiiDoGBuff	1	CalamityMod.Items.Pets/CosmicPlushie.cs
ChiBuff	1	CalamityMod.CalPlayer/CalamityPlayer.cs
ChiRegenBuff	1	CalamityMod.Items.Accessories/TrinketofChi.cs
CinderBlossomBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CinderBlossom.cs
CinnamonRollBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/CinnamonRoll.cs
Clamity	1	CalamityMod.NPCs.SunkenSea/GiantClam.cs
ClassicSCalPetBuff	1	CalamityMod.Items.Pets/BrimstoneJewel.cs
CloudyWaifu	1	CalamityMod.Items.Accessories/EyeoftheStorm.cs
CoralSymbiosis	1	CalamityMod.Projectiles.Magic/ManaChargedCoral.cs
Corroslime	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CorroslimeMinion.cs
CorruptionEffigyBuff	1	CalamityMod.Tiles.Furniture/CorruptionEffigy.cs
CorvidHarbringerBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/PowerfulRaven.cs
CosmicEnergy	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CosmicEnergySpiral.cs
CosmicFreeze	1	CalamityMod.Projectiles.Melee/CosmicDischargeFlail.cs
CosmicViperEngineBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CosmicViperSummon.cs
CosmilampBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CosmilampMinion.cs
Crimslime	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/CrimslimeMinion.cs
CrimsonEffigyBuff	1	CalamityMod.Tiles.Furniture/CrimsonEffigy.cs
Crumbling	4	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Projectiles/CalamityGlobalProjectile.cs|CalamityMod.Projectiles.Melee/PurityProjection.cs
CrushDepth	53	CalamityMod/CalamityLists.cs|CalamityMod/NPCStats.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Accessories/LumenousAmulet.cs|CalamityMod.Items.Weapons.Melee/BrinyBaron.cs
DaedalusCrystalBuff	1	CalamityMod.Items.Armor.Daedalus/DaedalusHeadSummon.cs
DaedalusGolemBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/DaedalusGolem.cs
DankCreeperBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/DankCreeperMinion.cs
DannyDevito	1	CalamityMod.Items.Pets/TrashmanTrashcan.cs
DazzlingStabberBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/DazzlingStabber.cs
DemonshadeSetDevilBuff	1	CalamityMod.Items.Armor.Demonshade/DemonshadeHelm.cs
DoGExtremeGravity	3	CalamityMod/CalamityLists.cs|CalamityMod.NPCs.CalamityAIs.CalamityBossAIs/AstrumDeusAI.cs|CalamityMod.NPCs.DevourerofGods/DevourerofGodsHead.cs
DraedonGamerChairBuff	1	CalamityMod.Items.Mounts/DraedonGamerChairMount.cs
Dragonfire	45	CalamityMod/CalamityLists.cs|CalamityMod/NPCStats.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Accessories/DragonScales.cs|CalamityMod.Items.Fishing.BrimstoneCragCatches/DragoonDrizzlefish.cs
Dreamfog	1	CalamityMod.Items.Pets/ChromaticOrb.cs
EffigyOfDecayBuff	1	CalamityMod.Tiles.Furniture/EffigyOfDecayPlaceable.cs
EidolonSnailBuff	1	CalamityMod.Items.Pets/AbyssShellFossil.cs
ElectricTroublemaker	1	CalamityMod.Items.Pets/TheEtomer.cs
ElementalAxeBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/ElementalAxeMinion.cs
ElementalMix	31	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Projectiles.Magic/ElementTentacle.cs|CalamityMod.Projectiles.Magic/NebulaElementalBeam.cs|CalamityMod.Projectiles.Magic/SolarElementalBeam.cs
EmpyreanRage	2	CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Armor.Empyrean/EmpyreanMask.cs
EmpyreanWrath	2	CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Armor.Empyrean/EmpyreanMask.cs
Encased	1	CalamityMod.CalPlayer/CalamityPlayer.cs
EndoCooperBuff	3	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/EndoCooperBody.cs|CalamityMod.Projectiles.Summon/EndoCooperLimbs.cs
EndoHydraBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/EndoHydraBody.cs
Enraged	1	CalamityMod.CalPlayer/CalamityPlayer.cs
EntropysVigilBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/Calamitamini.cs
Eutrophication	20	CalamityMod/CalamityLists.cs|CalamityMod/NPCStats.cs|CalamityMod.NPCs.CalamityAIs.CalamityBossAIs/AquaticScourgeAI.cs|CalamityMod.NPCs.CalamityAIs.CalamityBossAIs/BumblebirbAI.cs|CalamityMod.NPCs.Leviathan/Leviathan.cs
EverclearBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/Everclear.cs
EvergreenGinBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/EvergreenGin.cs
ExoskeletonCannons	1	CalamityMod.Projectiles.Summon.SmallAresArms/ExoskeletonCannon.cs
EyeOfNightBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/EyeOfNightSummon.cs
FieryDraconidBuff	3	CalamityMod/WeakReferenceSupport.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Projectiles.Summon/FieryDraconid.cs
FireballBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/Fireball.cs
FishAlert	2	CalamityMod/CalamityLists.cs|CalamityMod.NPCs.Abyss/LuminousCorvina.cs
FlakHermitBuff	1	CalamityMod.Items.Pets/GeyserShell.cs
FleshBallBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/FleshBallMinion.cs
FlowersOfMortalityBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/FlowersOfMortalityPetal.cs
FoxPetBuff	1	CalamityMod.Items.Pets/FoxDrive.cs
FrostBlossomBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/FrostBlossom.cs
FrozenLungs	2	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs
FungalClumpBuff	1	CalamityMod.Items.Accessories/FungalClump.cs
FurtasticDuoBuff	1	CalamityMod.Items.Pets/PrimroseKeepsake.cs
GalvanicCorrosion	10	CalamityMod.NPCs.CalamityAIs.CalamityBossAIs/AquaticScourgeAI.cs|CalamityMod.NPCs.CalamityAIs.CalamityBossAIs/BumblebirbAI.cs|CalamityMod.NPCs.Leviathan/Leviathan.cs|CalamityMod.NPCs.PlaguebringerGoliath/PlaguebringerGoliath.cs|CalamityMod.NPCs.PrimordialWyrm/PrimordialWyrmHead.cs
GammaHydraBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/GammaHead.cs
GastricAberrationBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Projectiles.Summon/GastricBelcher.cs
GazeOfCrysthamyrBuff	1	CalamityMod.Items.Mounts/Crysthamyr.cs
GlacialEmbraceBuff	2	CalamityMod/WeakReferenceSupport.cs|CalamityMod.Items.Weapons.Summon/GlacialEmbrace.cs
GlacialState	50	CalamityMod/CalamityLists.cs|CalamityMod/NPCStats.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.Items.Armor.Fearmonger/FearmongerGreathelm.cs|CalamityMod.Items.VanillaArmorChanges/EskimoArmorSetChange.cs
GodSlayerInferno	55	CalamityMod/CalamityLists.cs|CalamityMod.CalPlayer/CalamityPlayer.cs|CalamityMod.CalPlayer.Dashes/AsgardianAegisDash.cs|CalamityMod.CalPlayer.Dashes/GodslayerArmorDash.cs|CalamityMod.Items.Accessories/AsgardianAegis.cs
GoldieBuff	1	CalamityMod.Items.Pets/ThiefsDime.cs
GrapeBeerBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions.Alcohol/GrapeBeer.cs
GravityNormalizerBuff	2	CalamityMod/CalamityLists.cs|CalamityMod.Items.Potions/GravityNormalizerPotion.cs
GraxBoost	1	CalamityMod.Items.Tools/Grax.cs
GreenJellyRegen	1	CalamityMod.Projectiles.Healing/GreenJellyAura.cs
HallowedRuneDefense	1	CalamityMod.CalPlayer/CalamityPlayer.cs
HallowedRunePower	1	CalamityMod.CalPlayer/CalamityPlayer.cs
HallowedRuneRegeneration	1	CalamityMod.CalPlayer/CalamityPlayer.cs
