﻿# Buff scan diff
# Old: Spooky @ 2026-05-20T07:20:17.9232119Z
# New: CalamityMod @ 2026-05-20T07:42:31.0337844Z
Change	StableKey	OldPhase	NewPhase	OldFile	NewFile	Note
Removed	Spooky/AlternateCooldown	Unknown		Buffs/Debuff/AlternateCooldown.cs		
Removed	Spooky/BackroomsDecay	Unknown		Buffs/Debuff/BackroomsDecay.cs		
Removed	Spooky/BeeDamageBuff	CombatVisual		Buffs/BeeDamageBuff.cs		
Removed	Spooky/BeeHealingBuff	CombatVisual		Buffs/BeeHealingBuff.cs		
Removed	Spooky/BeePetBuff	CombatVisual		Buffs/Pets/BeePetBuff.cs		
Removed	Spooky/BeePollinationProcessBuff	Unknown		Buffs/Debuff/BeePollinationProcessBuff.cs		
Removed	Spooky/BigBonePetBuff	CombatVisual		Buffs/Pets/BigBonePetBuff.cs		
Removed	Spooky/BillyBuff	Unknown		Buffs/Minion/BillyBuff.cs		
Removed	Spooky/BlueberryFrost	CombatVisual		Buffs/Debuff/BlueberryFrost.cs		
Removed	Spooky/BluegillSparkleDebuff	CombatVisual		Buffs/Debuff/BluegillSparkleDebuff.cs		
Removed	Spooky/BouncerDeathmark	Unknown		Buffs/Debuff/BouncerDeathmark.cs		
Removed	Spooky/BrainyBuff	Unknown		Buffs/Minion/BrainyBuff.cs		
Removed	Spooky/BustlingGlowshroomHeal	Mixed		Buffs/BustlingGlowshroomHeal.cs		
Removed	Spooky/CatacombDebuff	Unknown		Buffs/Debuff/CatacombDebuff.cs		
Removed	Spooky/CatBuff	CombatVisual		Buffs/Pets/CatBuff.cs		
Removed	Spooky/CavefishStunned	CombatVisual		Buffs/Debuff/CavefishStunned.cs		
Removed	Spooky/CemeteryLilyBuff	Stat		Buffs/CemeteryLilyBuff.cs		
Removed	Spooky/ChalupoBuff	CombatVisual		Buffs/Pets/ChalupoBuff.cs		
Removed	Spooky/ColumboBuff	CombatVisual		Buffs/Pets/ColumboBuff.cs		
Removed	Spooky/ColumboneBuff	CombatVisual		Buffs/Pets/ColumboneBuff.cs		
Removed	Spooky/ColumbooBuff	CombatVisual		Buffs/Pets/ColumbooBuff.cs		
Removed	Spooky/ColumboPetCombinedBuff	CombatVisual		Buffs/Pets/ColumboPetCombinedBuff.cs		
Removed	Spooky/ColumborangeBuff	CombatVisual		Buffs/Pets/ColumborangeBuff.cs		
Removed	Spooky/CrossCooldown	Unknown		Buffs/Debuff/CrossCooldown.cs		
Removed	Spooky/CucumberStomachDebuff	Unknown		Buffs/Debuff/CucumberStomachDebuff.cs		
Removed	Spooky/CursedDollDebuff	CombatVisual		Buffs/Debuff/CursedDollDebuff.cs		
Removed	Spooky/DaffodilHandBuff	Unknown		Buffs/Minion/DaffodilHandBuff.cs		
Removed	Spooky/DevilToothDebuff	CombatVisual		Buffs/Debuff/DevilToothDebuff.cs		
Removed	Spooky/DutchmanPipeDebuff	Unknown		Buffs/Debuff/DutchmanPipeDebuff.cs		
Removed	Spooky/EelTagDebuff	Unknown		Buffs/WhipDebuff/EelTagDebuff.cs		
Removed	Spooky/EggplantWhipDebuff	Unknown		Buffs/WhipDebuff/EggplantWhipDebuff.cs		
Removed	Spooky/EmbryoCooldown	Unknown		Buffs/Debuff/EmbryoCooldown.cs		
Removed	Spooky/EmbryoRevival	Stat		Buffs/EmbryoRevival.cs		
Removed	Spooky/EnsnaredCooldown	Unknown		Buffs/Debuff/EnsnaredCooldown.cs		
Removed	Spooky/EnsnaredDebuff	CombatVisual		Buffs/Debuff/EnsnaredDebuff.cs		
Removed	Spooky/EntityMinionBuff	Unknown		Buffs/Minion/EntityMinionBuff.cs		
Removed	Spooky/FleshWhipCooldown	Unknown		Buffs/WhipDebuff/FleshWhipCooldown.cs		
Removed	Spooky/FleshWhipDefense	Unknown		Buffs/WhipDebuff/FleshWhipDefense.cs		
Removed	Spooky/FleshWhipDefense2	Unknown		Buffs/WhipDebuff/FleshWhipDefense2.cs		
Removed	Spooky/FlowerArmorCooldown	Unknown		Buffs/Debuff/FlowerArmorCooldown.cs		
Removed	Spooky/FlyBuff	Unknown		Buffs/FlyBuff.cs		
Removed	Spooky/FlyCooldown	Unknown		Buffs/Debuff/FlyCooldown.cs		
Removed	Spooky/FlyPetBuff	CombatVisual		Buffs/Pets/FlyPetBuff.cs		
Removed	Spooky/FuzzBatPetBuff	CombatVisual		Buffs/Pets/FuzzBatPetBuff.cs		
Removed	Spooky/GhostBanditDefense	Stat		Buffs/GhostBanditDefense.cs		
Removed	Spooky/GhostPepperMinionBuff	Unknown		Buffs/Minion/GhostPepperMinionBuff.cs		
Removed	Spooky/GhostPetBuff	CombatVisual		Buffs/Pets/GhostPetBuff.cs		
Removed	Spooky/GlassEyeDebuff	Unknown		Buffs/Debuff/GlassEyeDebuff.cs		
Removed	Spooky/GooseberryBoostBuff	Stat		Buffs/GooseberryBoostBuff.cs		
Removed	Spooky/GourdDecay	CombatVisual		Buffs/Debuff/GourdDecay.cs		
Removed	Spooky/GrugBuff	Unknown		Buffs/Minion/GrugBuff.cs		
Removed	Spooky/HallucinationDebuff1	Unknown		Buffs/Debuff/HallucinationDebuff.cs		
Removed	Spooky/HazmatMinionToxic	CombatVisual		Buffs/Debuff/HazmatMinionToxic.cs		
Removed	Spooky/HerobrineAltarCooldown	Unknown		Buffs/Debuff/HerobrineAltarCooldown.cs		
Removed	Spooky/HunterScarfMark	Unknown		Buffs/Debuff/HunterScarfMark.cs		
Removed	Spooky/InchwormBuff	CombatVisual		Buffs/Pets/InchwormBuff.cs		
Removed	Spooky/InkyCapDebuff	CombatVisual		Buffs/Debuff/InkyCapDebuff.cs		
Removed	Spooky/KrampusBricksCooldown	Unknown		Buffs/Debuff/KrampusBricksCooldown.cs		
Removed	Spooky/KrampusShapeBuff	Stat		Buffs/KrampusShapeBuff.cs		
Removed	Spooky/LeechBuff	Unknown		Buffs/Minion/LeechBuff.cs		
Removed	Spooky/LeechWhipDebuff	Unknown		Buffs/WhipDebuff/LeechWhipDebuff.cs		
Removed	Spooky/LongisquamaPetBuff	CombatVisual		Buffs/Pets/LongisquamaPetBuff.cs		
Removed	Spooky/MocoPetBuff	CombatVisual		Buffs/Pets/MocoPetBuff.cs		
Removed	Spooky/MonumentMythosCooldown	Unknown		Buffs/Debuff/MonumentMythosCooldown.cs		
Removed	Spooky/MonumentMythosShatter	Unknown		Buffs/Debuff/MonumentMythosShatter.cs		
Removed	Spooky/MushroomFriendPetBuff	CombatVisual		Buffs/Pets/MushroomFriendPetBuff.cs		
Removed	Spooky/NerveWhipDebuff	Unknown		Buffs/WhipDebuff/NerveWhipDebuff.cs		
Removed	Spooky/NineTailsDebuff	Unknown		Buffs/WhipDebuff/NineTailsDebuff.cs		
Removed	Spooky/NoseBlessingBuff	Unknown		Buffs/NoseBlessingBuff.cs		
Removed	Spooky/NoseBlessingDebuff	Unknown		Buffs/Debuff/NoseBlessingDebuff.cs		
Removed	Spooky/NoseBlessingDebuffCooldown	Unknown		Buffs/Debuff/NoseBlessingDebuffCooldown.cs		
Removed	Spooky/NoseMinionBuff	Unknown		Buffs/Minion/NoseMinionBuff.cs		
