﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AbandonedSlimeBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/AbandonedSlimeBuff.cs
AbsorberAffliction	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.StatDebuffs/AbsorberAffliction.cs
AbsorberRegen	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AbsorberRegen.cs
AbyssalDivingSuitBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.StatBuffs/AbyssalDivingSuitBuff.cs
AbyssalDivingSuitPlates	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AbyssalDivingSuitPlates.cs
AbyssalMadness	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AbyssalMadness.cs
AdrenalineMode	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.StatBuffs/AdrenalineMode.cs
Afflicted	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/Afflicted.cs
AkatoBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/AkatoBuff.cs
AlcoholPoisoning	Y	Y	Unknown	Low	CalamityMod.Buffs.Alcohol/AlcoholPoisoning.cs
AmidiasBlessing	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AmidiasBlessing.cs
AncientMineralSharkBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/AncientMineralSharkBuff.cs
AndromedaBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Mounts/AndromedaBuff.cs
AndromedaCripple	Y	Y	Unknown	Low	CalamityMod.Buffs.StatDebuffs/AndromedaCripple.cs
AndromedaSmallBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Mounts/AndromedaSmallBuff.cs
AnechoicCoatingBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/AnechoicCoatingBuff.cs
AquaticHeartBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AquaticHeartBuff.cs
AquaticHeartWaterSpeed	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AquaticHeartWaterSpeed.cs
AquaticStar	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/AquaticStar.cs
ArcherofLunamoon	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/ArcherofLunamoon.cs
ArmorCrunch	Y	Y	Unknown	Low	CalamityMod.Buffs.StatDebuffs/ArmorCrunch.cs
AstralInfectionDebuff	Y	Y	Unknown	Low	CalamityMod.Buffs.DamageOverTime/AstralInfectionDebuff.cs
AstralInjectionBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/AstralInjectionBuff.cs
AstralProbeBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/AstralProbeBuff.cs
AstrophageBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/AstrophageBuff.cs
AvertorBonus	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/AvertorBonus.cs
BabyBloodCrawlerBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BabyBloodCrawlerBuff.cs
BabyGhostBellBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/BabyGhostBellBuff.cs
BabySlimeGodBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BabySlimeGodBuff.cs
BabyStormlionBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BabyStormlionBuff.cs
BaguetteBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/BaguetteBuff.cs
BanishingFire	Y	Y	Unknown	Low	CalamityMod.Buffs.DamageOverTime/BanishingFire.cs
BearBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/BearBuff.cs
BelladonnaSpiritBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BelladonnaSpiritBuff.cs
BlackHawkBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BlackHawkBuff.cs
BloodBound	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/BloodBound.cs
BloodfinBoost	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/BloodfinBoost.cs
BloodflareBloodFrenzy	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/BloodflareBloodFrenzy.cs
BloodyMaryBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Alcohol/BloodyMaryBuff.cs
BlueCandleBuff	Y	Y	Stat	Medium	CalamityMod.Buffs.Placeables/BlueCandleBuff.cs
BossEffects	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/BossEffects.cs
BoundingBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/BoundingBuff.cs
BrainRot	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.DamageOverTime/BrainRot.cs
BrimflameFrenzyBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/BrimflameFrenzyBuff.cs
BrimlingBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/BrimlingBuff.cs
BrimroseMount	Y	Y	Unknown	Low	CalamityMod.Buffs.Mounts/BrimroseMount.cs
BrimseekerBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BrimseekerBuff.cs
BrimstoneFlames	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.DamageOverTime/BrimstoneFlames.cs
BrimstoneWaifu	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BrimstoneWaifu.cs
BrittleStar	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/BrittleStar.cs
BrutalCarnage	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/BrutalCarnage.cs
BumbledogeMount	Y	Y	Unknown	Low	CalamityMod.Buffs.Mounts/BumbledogeMount.cs
BurningBlood	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.DamageOverTime/BurningBlood.cs
CalamarisLamentBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CalamarisLamentBuff.cs
CalciumBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/CalciumBuff.cs
CaribbeanRumBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Alcohol/CaribbeanRumBuff.cs
CausticStaffBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CausticStaffBuff.cs
CeaselessHunger	Y	Y	Unknown	Low	CalamityMod.Buffs.Potions/CeaselessHunger.cs
ChaosCandleBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Placeables/ChaosCandleBuff.cs
ChibiiDoGBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/ChibiiDoGBuff.cs
ChiBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/ChiBuff.cs
ChiRegenBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/ChiRegenBuff.cs
CinderBlossomBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CinderBlossomBuff.cs
CinnamonRollBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Alcohol/CinnamonRollBuff.cs
Clamity	Y	Y	Unknown	Low	CalamityMod.Buffs.StatDebuffs/Clamity.cs
ClassicSCalPetBuff	Y	Y	CombatVisual	Medium	CalamityMod.Buffs.Pets/ClassicSCalPetBuff.cs
CloudyWaifu	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CloudyWaifu.cs
CoralSymbiosis	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/CoralSymbiosis.cs
Corroslime	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/Corroslime.cs
CorruptionEffigyBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Placeables/CorruptionEffigyBuff.cs
CorvidHarbringerBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CorvidHarbringerBuff.cs
CosmicEnergy	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CosmicEnergy.cs
CosmicFreeze	Y	Y	Unknown	Low	CalamityMod.Buffs.StatBuffs/CosmicFreeze.cs
CosmicViperEngineBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CosmicViperEngineBuff.cs
CosmilampBuff	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/CosmilampBuff.cs
Crimslime	Y	Y	Unknown	Low	CalamityMod.Buffs.Summon/Crimslime.cs
