﻿# EmojBuffModScanner catalog
# Mod: CatalystMod
# Scanned: 2026-05-20T08:27:56.0178028Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\CatalystMod\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
CatalystMod/AstrageldonPetBuff	AstrageldonPetBuff	CatalystMod.Buffs.Pets/AstrageldonPetBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CatalystMod/AstrageldonRocksSetbonus	AstrageldonRocksSetbonus	CatalystMod.Buffs/AstrageldonRocksSetbonus.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/AstralBlight	AstralBlight	CatalystMod.Buffs.DamageOverTime/AstralBlight.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/AstralJellyBuff	AstralJellyBuff	CatalystMod.Buffs.StatBuffs/AstralJellyBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/AstrogelJumpBoost	AstrogelJumpBoost	CatalystMod.Buffs/AstrogelJumpBoost.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/BlessedBlossoms	BlessedBlossoms	CatalystMod.Buffs.StatBuffs/BlessedBlossoms.cs	Stat	Medium	DamageClass\.			
CatalystMod/CatharsisBuff	CatharsisBuff	CatalystMod.Buffs.StatBuffs/CatharsisBuff.cs	Stat	Medium	DamageClass\.			
CatalystMod/CatharsisBuff2	CatharsisBuff2	CatalystMod.Buffs.StatBuffs/CatharsisBuff2.cs	Stat	Medium	DamageClass\.			
CatalystMod/DefaultTag	DefaultTag	CatalystMod.Buffs.WhipTags/DefaultTag.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/InterstellarCorruption	InterstellarCorruption	CatalystMod.Buffs.DamageOverTime/InterstellarCorruption.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
CatalystMod/MinionBuffBase	MinionBuffBase	CatalystMod.Buffs.Summon/MinionBuffBase.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/ReverberatingParalysis	ReverberatingParalysis	CatalystMod.Buffs.WhipTags/ReverberatingParalysis.cs	Unknown	Low				未检测到常见 stat/visual 模式
CatalystMod/ZeroGravity	ZeroGravity	CatalystMod.Buffs/ZeroGravity.cs	Unknown	Low				未检测到常见 stat/visual 模式
