﻿RegisteredTypeName	ReferenceCount	SampleFiles
ArmorCrunch	2	CatalystMod.Items.Armor.Intergelactic/IntergelacticBreastplate.cs|CatalystMod.NPCs.Boss.Astrageldon/Astrageldon.cs
AstrageldonPetBuff	2	CatalystMod.Items.Pets/DivineJello.cs|CatalystMod.Projectiles.Pets/AstrageldonPet.cs
AstrageldonRocksSetbonus	1	CatalystMod/CatalystPlayer.cs
AstralBlight	16	CatalystMod/CatalystPlayer.cs|CatalystMod.Items.Armor.Intergelactic/IntergelacticHeadMelee.cs|CatalystMod.NPCs.Boss.Astrageldon/AstrageldonLaser.cs|CatalystMod.NPCs.Boss.Astrageldon/SpiralLaser.cs|CatalystMod.Projectiles.Enemy/AstrageldonStar.cs
AstralInfectionDebuff	1	CatalystMod.Items.Armor.Intergelactic/IntergelacticBreastplate.cs
AstralJellyBuff	2	CatalystMod.Items.Potions/AstraJelly.cs|CatalystMod.Items.Potions/Lean.cs
AstralpodBuff	3	CatalystMod/CatalystMod.cs|CatalystMod.Items.Weapons.Summon/AstralpodStaff.cs|CatalystMod.Projectiles.Summon/AstralpodMinion.cs
AstrogelJumpBoost	1	CatalystMod.Tiles/Astrogel.cs
BlessedBlossoms	1	CatalystMod.Projectiles.Summon.Whips/BlossomBuffLeaf.cs
BossEffects	1	CatalystMod/CatalystPlayer.cs
BrimstoneFlames	6	CatalystMod.Projectiles.Ranged.Flamethrowers/RepentanceCircle.cs|CatalystMod.Projectiles.Ranged.Flamethrowers/RepentanceFlamethrower.cs|CatalystMod.Projectiles.Ranged.Flamethrowers/RepentanceForwardFireball.cs|CatalystMod.Projectiles.Summon.Whips.Catharsis/CatharsisProjectile.cs|CatalystMod.Projectiles.Summon.Whips.Catharsis/HighCatharsisDown.cs
CatharsisBuff	1	CatalystMod.Projectiles.Summon.Whips.Catharsis/CatharsisPlayer.cs
CatharsisBuff2	1	CatalystMod.Projectiles.Summon.Whips.Catharsis/CatharsisPlayer.cs
DefaultTag	1	CatalystMod.NPCs/CatalystTag.cs
DoGExtremeGravity	1	CatalystMod/CatalystPlayer.cs
Eutrophication	1	CatalystMod.NPCs/CatalystTag.cs
GlacialState	2	CatalystMod.Items.Armor.Intergelactic/IntergelacticHeadMelee.cs|CatalystMod.NPCs.Boss.Astrageldon/Astrageldon.cs
InterstellarCorruption	3	CatalystMod/CatalystPlayer.cs|CatalystMod.NPCs/CatalystNPC.cs|CatalystMod.Projectiles.Magic/NebulaSpear.cs
MiracleBlight	3	CatalystMod.NPCs.Boss.Astrageldon/Astrageldon.cs|CatalystMod.Projectiles.Ranged.Flamethrowers/PlasmilegionFireball.cs|CatalystMod.Projectiles.Ranged.Flamethrowers/PlasmilegionFlamethrower.cs
ReverberatingParalysis	1	CatalystMod.NPCs/CatalystTag.cs
TemporalSadness	1	CatalystMod.NPCs.Boss.Astrageldon/Astrageldon.cs
VulnerabilityHex	2	CatalystMod.Projectiles.Summon.Whips.Catharsis/HighCatharsisDown.cs|CatalystMod.Projectiles.Summon.Whips.Catharsis/HighCatharsisUp.cs
ZeroGravity	1	CatalystMod/CatalystPlayer.cs
