﻿# EmojBuffModScanner catalog
# Mod: FargosSoulsMod
# Scanned: 2026-05-20T07:13:42.9088832Z
# Source: C:\Users\14451\AppData\Local\Temp\EmojBuffGit_d0712dc2096a4c21950f6db952bf6432\extracted\FargosSoulsMod-master\Content
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
FargosSoulsMod/AbomCooldownBuff	AbomCooldownBuff	Buffs/Masomode/AbomCooldownBuff.cs	Unknown	Low				DisplayName: Abominable Cooldown
FargosSoulsMod/AbomFangBuff	AbomFangBuff	Buffs/Boss/AbomFangBuff.cs	Unknown	Low				DisplayName: Abominable Fang
FargosSoulsMod/AbomPresenceBuff	AbomPresenceBuff	Buffs/Boss/AbomPresenceBuff.cs	Stat	Medium	player\.stat\w+\s*[\+\-\*\/]?=			DisplayName: Abominable Presence
FargosSoulsMod/AbomRebirthBuff	AbomRebirthBuff	Buffs/Masomode/AbomRebirthBuff.cs	Unknown	Low				DisplayName: Abominable Rebirth
FargosSoulsMod/AccursedSarcophagusBuff	AccursedSarcophagusBuff	Buffs/Pets/AccursedSarcophagusBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		DisplayName: Accursed Sarcophagus
FargosSoulsMod/AmbrosiaBuff	AmbrosiaBuff	Buffs/Souls/AmbrosiaBuff.cs	Stat	High	player\.GetDamage\s*\(|player\.GetAttackSpeed\s*\(|DamageClass\.			
FargosSoulsMod/AnticoagulationBuff	AnticoagulationBuff	Buffs/Masomode/AnticoagulationBuff.cs	Unknown	Low				DisplayName: Anticoagulation
FargosSoulsMod/AntisocialBuff	AntisocialBuff	Buffs/Masomode/AntisocialBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			DisplayName: Antisocial
FargosSoulsMod/AtrophiedBuff	AtrophiedBuff	Buffs/Masomode/AtrophiedBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			DisplayName: Atrophied
FargosSoulsMod/BabyAbomBuff	BabyAbomBuff	Buffs/Pets/BabyAbomBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		DisplayName: Baby Abom
FargosSoulsMod/BabyLifelightBuff	BabyLifelightBuff	Buffs/Pets/BabyLifelightBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		DisplayName: Petlight
FargosSoulsMod/BabySilhouetteBuff	BabySilhouetteBuff	Buffs/Pets/BabySilhouetteBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		DisplayName: Baby Silhouette
FargosSoulsMod/BaronsBurdenBuff	BaronsBurdenBuff	Buffs/Boss/BaronsBurdenBuff.cs	Stat	Medium	player\.lifeRegen\s*[\+\-\*\/]?=			DisplayName: Baron's Burden
FargosSoulsMod/BerserkedBuff	BerserkedBuff	Buffs/Masomode/BerserkedBuff.cs	Stat	High	player\.GetDamage\s*\(|player\.moveSpeed\s*[\+\-\*\/]?=|DamageClass\.			DisplayName: Berserked
FargosSoulsMod/BerserkerInstallBuff	BerserkerInstallBuff	Buffs/BerserkerInstallBuff.cs	Stat	High	player\.stat\w+\s*[\+\-\*\/]?=|player\.GetDamage\s*\(|player\.GetCritChance\s*\(|player\.moveSpeed\s*[\+\-\*\/]?=|DamageClass\.			DisplayName: Berserker Install
FargosSoulsMod/BerserkerInstallCDBuff	BerserkerInstallCDBuff	Buffs/BerserkerInstallCDBuff.cs	Unknown	Low				DisplayName: Berserker Cooldown
FargosSoulsMod/BetsyDashBuff	BetsyDashBuff	Buffs/BetsyDashBuff.cs	Unknown	Low				DisplayName: Dash
FargosSoulsMod/BigBrainMinionBuff	BigBrainMinionBuff	Buffs/Minions/BigBrainMinionBuff.cs	Unknown	Low				DisplayName: Big Brain of Cthulhu
FargosSoulsMod/BiteSizeBaronBuff	BiteSizeBaronBuff	Buffs/Pets/BiteSizeBaronBuff.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		DisplayName: Bite-size Baron
FargosSoulsMod/BloodDrinkerBuff	BloodDrinkerBuff	Buffs/Masomode/BloodDrinkerBuff.cs	Stat	High	player\.GetDamage\s*\(|DamageClass\.			DisplayName: Blood Drinker
FargosSoulsMod/BloodthirstyBuff	BloodthirstyBuff	Buffs/Masomode/BloodthirstyBuff.cs	Unknown	Low				DisplayName: Bloodthirsty
FargosSoulsMod/BrainMinionBuff	BrainMinionBuff	Buffs/Minions/BrainMinionBuff.cs	Unknown	Low				DisplayName: Brain of Cthulhu
FargosSoulsMod/BrainOfConfusionBuff	BrainOfConfusionBuff	Buffs/Masomode/BrainOfConfusionBuff.cs	Unknown	Low				DisplayName: Cerebral Mindbreak
FargosSoulsMod/BrokenShellBuff	BrokenShellBuff	Buffs/Souls/BrokenShellBuff.cs	Unknown	Low				DisplayName: Broken Shell
