﻿RegisteredTypeName	ReferenceCount	SampleFiles
AbomFangBuff	2	Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomSwordHandle.cs
AbomPresenceBuff	1	Bosses/AbomBoss/AbomBoss.cs
AbomRebirthBuff	1	Bosses/MutantBoss/MutantBoss.cs
AccursedSarcophagusBuff	1	Items/Pets/AccursedRags.cs
AmbrosiaBuff	1	Projectiles/Souls/BeeFlower.cs
Anticoagulation	1	Projectiles/Masomode/BloodFountain.cs
AnticoagulationBuff	15	Projectiles/EModeGlobalProjectile.cs|Projectiles/FargoSoulsGlobalProjectile.cs|Bosses/VanillaEternity/DukeFishron.cs|Buffs/Masomode/SadismBuff.cs|Items/Accessories/Masomode/DreadShell.cs
AntisocialBuff	10	Bosses/MutantBoss/MutantFragment.cs|Bosses/MutantBoss/MutantPillar.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/CelestialFragment.cs|Projectiles/Masomode/CelestialPillar.cs
AtrophiedBuff	9	Bosses/MutantBoss/MutantFragment.cs|Bosses/MutantBoss/MutantPillar.cs|Buffs/Masomode/SadismBuff.cs|Projectiles/Masomode/CelestialFragment.cs|Projectiles/Masomode/CelestialPillar.cs
BabyAbomBuff	1	Items/Pets/BabyScythe.cs
BabyLifelightBuff	1	Items/Pets/LifelightMasterPet.cs
BabySilhouetteBuff	1	Items/Pets/PortableFogMachine.cs
BaronsBurdenBuff	1	Bosses/BanishedBaron/BanishedBaron.cs
BerserkedBuff	20	Projectiles/EModeGlobalProjectile.cs|Bosses/AbomBoss/AbomBoss.cs|Bosses/DeviBoss/DeviDevilScythe.cs|Bosses/DeviBoss/DeviSparklingLoveSmall.cs|Bosses/MutantBoss/MutantEyeOfCthulhu.cs
BerserkerInstallBuff	1	Buffs/BerserkerInstallCDBuff.cs
BerserkerInstallCDBuff	1	Buffs/BerserkerInstallBuff.cs
BigBrainMinion	1	Items/Weapons/SwarmDrops/BigBrainBuster.cs
BigBrainMinionBuff	1	Items/Weapons/SwarmDrops/BigBrainBuster.cs
BiteSizeBaronBuff	1	Items/Pets/EnerGear.cs
BloodDrinkerBuff	2	Projectiles/Masomode/Bloodshed.cs|NPCs/EternityModeNPCs/VanillaEnemies/BloodMoon/Dreadnautilus.cs
Bloodthirsty	1	NPCs/EternityModeNPCs/VanillaEnemies/Jungle/Lihzahrd.cs
BloodthirstyBuff	6	Buffs/Masomode/SadismBuff.cs|Items/Accessories/Souls/MasochistSoul.cs|NPCs/EternityModeNPCs/VanillaEnemies/Bats.cs|NPCs/EternityModeNPCs/VanillaEnemies/Slimes.cs|NPCs/EternityModeNPCs/VanillaEnemies/BloodMoon/BloodZombie.cs
BrainMinion	1	Items/Weapons/BossDrops/BrainStaff.cs
BrainOfConfusionBuff	1	Buffs/FargoGlobalBuff.cs
BrokenShellBuff	2	Buffs/Souls/ShellHideBuff.cs|Items/Accessories/Enchantments/TurtleEnchant.cs
ChibiDeviBuff	1	Items/Pets/ChibiHat.cs
ChibiiRemiiBuff	1	Patreon/Phupperbat/VermillionTopHat.cs
ClippedWings	3	Projectiles/Masomode/CursedFlamethrower.cs|Projectiles/Masomode/SniperBullet.cs|Projectiles/Masomode/SniperBulletShard.cs
ClippedWingsBuff	51	Projectiles/EModeGlobalProjectile.cs|Bosses/AbomBoss/AbomBoss.cs|Bosses/AbomBoss/AbomSaucer.cs|Bosses/BanishedBaron/BanishedBaron.cs|Bosses/CursedCoffin/CursedCoffin.cs
CoffinTossBuff	2	Bosses/CursedCoffin/CoffinHand.cs|Bosses/CursedCoffin/CursedSpirit.cs
CrimetroidBuff	1	Patreon/Shucks/CrimetroidEgg.cs
CrimsonRegenBuff	1	Items/Accessories/Enchantments/CrimsonEnchant.cs
Crippled	3	Projectiles/Masomode/CursedFlamethrower.cs|Projectiles/Masomode/SniperBullet.cs|Projectiles/Masomode/SniperBulletShard.cs
