﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AbomCooldownBuff	Y	N	Unknown	Low	Buffs/Masomode/AbomCooldownBuff.cs
AbomFangBuff	Y	Y	Unknown	Low	Buffs/Boss/AbomFangBuff.cs
AbomPresenceBuff	Y	Y	Stat	Medium	Buffs/Boss/AbomPresenceBuff.cs
AbomRebirthBuff	Y	Y	Unknown	Low	Buffs/Masomode/AbomRebirthBuff.cs
AccursedSarcophagusBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/AccursedSarcophagusBuff.cs
AmbrosiaBuff	Y	Y	Stat	High	Buffs/Souls/AmbrosiaBuff.cs
Anticoagulation	N	Y			Projectiles/Masomode/BloodFountain.cs
AnticoagulationBuff	Y	Y	Unknown	Low	Buffs/Masomode/AnticoagulationBuff.cs
AntisocialBuff	Y	Y	Stat	High	Buffs/Masomode/AntisocialBuff.cs
AtrophiedBuff	Y	Y	Stat	High	Buffs/Masomode/AtrophiedBuff.cs
BabyAbomBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/BabyAbomBuff.cs
BabyLifelightBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/BabyLifelightBuff.cs
BabySilhouetteBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/BabySilhouetteBuff.cs
BaronsBurdenBuff	Y	Y	Stat	Medium	Buffs/Boss/BaronsBurdenBuff.cs
BerserkedBuff	Y	Y	Stat	High	Buffs/Masomode/BerserkedBuff.cs
BerserkerInstallBuff	Y	Y	Stat	High	Buffs/BerserkerInstallBuff.cs
BerserkerInstallCDBuff	Y	Y	Unknown	Low	Buffs/BerserkerInstallCDBuff.cs
BetsyDashBuff	Y	N	Unknown	Low	Buffs/BetsyDashBuff.cs
BigBrainMinion	N	Y			Items/Weapons/SwarmDrops/BigBrainBuster.cs
BigBrainMinionBuff	Y	Y	Unknown	Low	Buffs/Minions/BigBrainMinionBuff.cs
BiteSizeBaronBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/BiteSizeBaronBuff.cs
BloodDrinkerBuff	Y	Y	Stat	High	Buffs/Masomode/BloodDrinkerBuff.cs
Bloodthirsty	N	Y			NPCs/EternityModeNPCs/VanillaEnemies/Jungle/Lihzahrd.cs
BloodthirstyBuff	Y	Y	Unknown	Low	Buffs/Masomode/BloodthirstyBuff.cs
BrainMinion	N	Y			Items/Weapons/BossDrops/BrainStaff.cs
BrainMinionBuff	Y	N	Unknown	Low	Buffs/Minions/BrainMinionBuff.cs
BrainOfConfusionBuff	Y	Y	Unknown	Low	Buffs/Masomode/BrainOfConfusionBuff.cs
BrokenShellBuff	Y	Y	Unknown	Low	Buffs/Souls/BrokenShellBuff.cs
ChibiDeviBuff	Y	Y	CombatVisual	Medium	Buffs/Pets/ChibiDeviBuff.cs
