﻿Name	HasModBuffClass	HasBuffTypeRef	SuggestedPhase	Confidence	File
AccentuationHex	Y	N	Unknown	Low	AccentuationHex.cs
AsterPetBuff	Y	N	CombatVisual	Medium	AsterPetBuff.cs
BlahajBuff	Y	N	CombatVisual	Medium	BlahajBuff.cs
BrimstoneBarrier	Y	N	Unknown	Low	BrimstoneBarrier.cs
BrimstoneExhaustion	Y	N	Unknown	Low	BrimstoneExhaustion.cs
BronzePetBuff	Y	N	CombatVisual	Medium	BronzePetBuff.cs
CatharsisHex	Y	N	Unknown	Low	CatharsisHex.cs
DarkFlames	Y	N	CombatVisual	Medium	DarkFlames.cs
HatGirlBuff	Y	N	CombatVisual	Medium	HatGirlBuff.cs
IndignationHex	Y	N	Unknown	Low	IndignationHex.cs
Madness	Y	N	Unknown	Low	Madness.cs
PerditusTagBuff	Y	N	Unknown	Low	PerditusTagBuff.cs
ShadowflameInferno	Y	N	CombatVisual	Medium	ShadowflameInferno.cs
SheepGodBuff	Y	N	CombatVisual	Medium	SheepGodBuff.cs
Sleepy	Y	N	Unknown	Low	Sleepy.cs
WeaknessHex	Y	N	Unknown	Low	WeaknessHex.cs
ZealHex	Y	N	Unknown	Low	ZealHex.cs
